Date,AAPL,AMZN,MSFT,NFLX
2015-06-02,124.470581,430.98999,44.301109,89.129997
2015-06-03,124.623802,436.589996,44.235012,88.808571
2015-06-04,123.895912,430.779999,43.772362,89.348572
2015-06-05,123.215904,426.950012,43.564648,90.459999
2015-06-08,122.401802,423.5,43.177528,89.604286
2015-06-09,122.037849,425.480011,43.101997,92.449997
2015-06-10,123.436188,430.769989,44.008411,95.871429
2015-06-11,123.158417,432.970001,43.847897,95.094284
2015-06-12,121.798416,429.920013,43.404137,94.418571
2015-06-15,121.558975,423.670013,42.941483,93.431427
2015-06-16,122.210251,427.26001,43.271946,95.272858
2015-06-17,121.92292,427.809998,43.404137,94.271431
2015-06-18,122.478409,439.390015,44.112274,94.742859
2015-06-19,121.252487,434.920013,43.526875,93.871429
2015-06-22,122.219826,436.290009,43.64962,96.414284
2015-06-23,121.664322,445.98999,43.347481,97.312859
2015-06-24,122.698708,440.839996,43.092552,96.944283
2015-06-25,122.114471,440.100006,43.101997,94.891426
2015-06-26,121.396149,438.100006,42.733753,93.08857
2015-06-29,119.269913,429.859985,41.893436,92.23143
2015-06-30,120.131905,434.089996,41.685722,93.848572
2015-07-01,121.252487,437.390015,41.968971,93.635712
2015-07-02,121.099236,437.709991,41.921768,94.044289
2015-07-06,120.677834,436.040009,41.912315,94.571426
2015-07-07,120.380928,436.720001,41.827347,94.091431
2015-07-08,117.392715,429.700012,41.770699,93.507141
2015-07-09,114.998314,434.390015,42.035069,95.727142
2015-07-10,118.072723,443.51001,42.120037,97.228569
2015-07-13,120.352196,455.570007,42.998135,101.087143
2015-07-14,120.304298,465.570007,43.073662,100.371429
2015-07-15,121.463196,461.190002,43.205849,98.129997
2015-07-16,123.081818,475.480011,44.055618,115.809998
2015-07-17,124.14492,483.01001,44.017853,114.769997
2015-07-20,126.491463,488.100006,44.301109,110.550003
2015-07-21,125.227188,488.0,44.641014,112.510002
2015-07-22,119.930779,488.269989,42.998135,111.5
2015-07-23,119.873306,482.179993,43.53632,110.099998
2015-07-24,119.241196,529.419983,43.375801,109.339996
2015-07-27,117.584259,531.409973,42.818733,106.43
2015-07-28,118.168503,526.030029,42.809303,106.900002
2015-07-29,117.794968,529.0,43.706272,107.080002
2015-07-30,117.201164,536.76001,44.26334,111.559998
2015-07-31,116.176353,536.150024,44.093388,114.309998
2015-08-03,113.437157,535.030029,44.19725,112.559998
2015-08-04,109.797668,531.900024,44.886497,121.150002
2015-08-05,110.525574,537.01001,44.924271,123.709999
2015-08-06,110.76609,529.460022,44.017853,126.449997
2015-08-07,111.141319,522.619995,44.131153,123.519997
2015-08-10,115.182114,524.0,44.688225,123.029999
2015-08-11,109.188248,527.460022,43.819569,122.739998
2015-08-12,110.871918,525.909973,44.131153,120.510002
2015-08-13,110.785339,529.659973,44.121716,123.730003
2015-08-14,111.564629,531.52002,44.37664,123.389999
2015-08-17,112.719162,535.219971,44.67878,125.360001
2015-08-18,112.084152,535.02002,44.925888,124.050003
2015-08-19,110.650642,532.919983,44.298618,122.059998
2015-08-20,108.380096,515.780029,43.395733,112.489998
2015-08-21,101.751259,494.470001,40.934166,103.959999
2015-08-24,99.211334,463.369995,39.613098,96.879997
2015-08-25,99.807816,466.369995,38.463104,101.519997
2015-08-26,105.532295,500.769989,40.592014,110.129997
2015-08-27,108.639862,518.369995,41.723003,117.660004
2015-08-28,108.995834,518.01001,41.751518,117.629997
2015-08-31,108.485931,512.890015,41.361858,115.029999
2015-09-01,103.636963,496.540009,39.746147,105.790001
2015-09-02,108.081833,510.549988,41.209785,105.440002
2015-09-03,106.186516,504.720001,41.342838,101.059998
2015-09-04,105.128212,499.0,40.496979,98.790001
2015-09-08,108.052979,517.539978,41.713501,94.949997
2015-09-09,105.974854,516.890015,40.934166,99.18
2015-09-10,108.303116,522.23999,41.143253,99.480003
2015-09-11,109.880959,529.440002,41.32383,97.510002
2015-09-14,110.939262,521.380005,40.905655,95.690002
2015-09-15,111.872498,522.369995,41.799038,99.160004
2015-09-16,111.997581,527.390015,42.103172,104.080002
2015-09-17,109.601952,538.869995,42.055649,104.209999
2015-09-18,109.149773,540.26001,41.32383,102.620003
2015-09-21,110.843056,548.390015,41.922592,100.300003
2015-09-22,109.101662,538.400024,41.723003,98.470001
2015-09-23,109.986801,536.070007,41.694489,98.07
2015-09-24,110.641022,533.75,41.73251,103.760002
2015-09-25,110.362015,524.25,41.761021,102.239998
2015-09-28,108.178062,504.059998,41.143253,99.470001
2015-09-29,104.926178,496.070007,41.285816,98.349998
2015-09-30,106.119179,511.890015,42.065155,103.260002
2015-10-01,105.42646,520.719971,42.397797,105.980003
2015-10-02,106.196136,532.539978,43.310192,106.110001
2015-10-05,106.580978,543.679993,44.317627,111.25
2015-10-06,107.090881,537.47998,44.431675,108.330002
2015-10-07,106.580978,541.940002,44.479198,108.099998
2015-10-08,105.349495,533.159973,45.096962,114.93
2015-10-09,107.870178,539.799988,44.773827,113.330002
2015-10-12,107.369888,550.190002,44.669281,113.449997
2015-10-13,107.552696,548.900024,44.564732,109.730003
2015-10-14,106.032578,544.830017,44.365143,110.230003
2015-10-15,107.620049,562.440002,44.67878,101.089996
2015-10-16,106.831116,570.76001,45.153984,98.989998
2015-10-19,107.494957,573.150024,45.25853,101.690002
2015-10-20,109.457634,560.880005,45.401089,98.989998
2015-10-21,109.448021,555.77002,44.85936,97.959999
2015-10-22,111.122078,563.909973,45.648201,97.32
2015-10-23,114.566376,599.030029,50.248184,100.040001
2015-10-26,110.910416,608.609985,51.55975,103.040001
2015-10-27,110.208076,611.01001,51.027523,103.07
2015-10-28,114.749161,617.099976,51.303135,105.800003
2015-10-29,115.961411,626.549988,50.71389,105.120003
2015-10-30,114.970459,625.900024,50.029591,108.379997
2015-11-02,116.586769,628.349976,50.599834,107.639999
2015-11-03,117.924095,625.309998,51.46471,109.739998
2015-11-04,117.375694,640.950012,51.702312,114.050003
2015-11-05,116.834602,655.650024,51.683304,113.5
2015-11-06,116.969872,659.369995,52.196522,114.059998
2015-11-09,116.496429,655.48999,51.474209,109.860001
2015-11-10,112.824814,659.679993,50.856441,112.699997
2015-11-11,112.187119,673.25,50.989502,112.860001
2015-11-12,111.810295,665.599976,50.675869,108.919998
2015-11-13,108.544479,642.349976,50.219673,103.650002
2015-11-16,110.322327,647.809998,51.103554,111.349998
2015-11-17,109.848885,643.299988,50.682556,117.099998
2015-11-18,113.327248,663.539978,51.524551,120.629997
2015-11-19,114.766914,661.27002,51.610664,120.220001
2015-11-20,115.269348,668.450012,51.849869,123.839996
2015-11-23,113.771706,678.98999,51.849869,125.029999
2015-11-24,114.863525,671.150024,51.907284,123.309998
2015-11-25,114.042252,675.340027,51.37146,124.160004
2015-11-27,113.829681,673.26001,51.601093,125.440002
2015-11-30,114.303123,664.799988,52.00296,123.330002
2015-12-01,113.375557,679.059998,52.835396,125.370003
2015-12-02,112.351372,676.01001,52.825821,128.929993
2015-12-03,111.307861,666.25,51.85944,126.809998
2015-12-04,115.008461,672.640015,53.495594,130.929993
2015-12-07,114.283798,669.830017,53.399914,125.360001
2015-12-08,114.235489,677.330017,53.380775,126.980003
2015-12-09,111.713676,664.789978,52.605755,124.199997
2015-12-10,112.245087,662.320007,52.883236,122.910004
2015-12-11,109.356125,640.150024,51.725483,118.910004
2015-12-14,108.679771,657.909973,52.758842,120.669998
2015-12-15,106.756989,658.640015,52.816257,118.599998
2015-12-16,107.57827,675.77002,53.706093,122.639999
2015-12-17,105.298019,670.650024,53.294666,122.510002
2015-12-18,102.44767,664.140015,51.792465,118.019997
2015-12-21,103.703766,664.51001,52.462234,116.629997
2015-12-22,103.607155,663.150024,52.959778,116.239998
2015-12-23,104.940506,663.700012,53.409485,118.160004
2015-12-24,104.380112,662.789978,53.265953,117.330002
2015-12-28,103.210999,675.200012,53.533871,117.110001
2015-12-29,105.066116,693.969971,54.107956,119.120003
2015-12-30,103.694107,689.070007,53.878323,116.709999
2015-12-31,101.703697,675.890015,53.084164,114.379997
2016-01-04,101.790649,636.98999,52.433533,109.959999
2016-01-05,99.239845,633.789978,52.672737,107.660004
2016-01-06,97.29776,632.650024,51.715916,117.68
2016-01-07,93.191338,607.940002,49.917099,114.559998
2016-01-08,93.68412,607.049988,50.070198,111.389999
2016-01-11,95.201073,617.73999,50.041489,114.970001
2016-01-12,96.582756,617.890015,50.500759,116.580002
2016-01-13,94.099594,581.809998,49.409988,106.559998
2016-01-14,96.157608,593.0,50.816513,107.059998
2016-01-15,93.848373,570.179993,48.788059,104.040001
2016-01-19,93.394257,574.47998,48.376629,107.889999
2016-01-20,93.519867,571.77002,48.596699,107.739998
