Date,AAPL,CSCO,MSFT,PCLN
2015-05-27,126.462708,26.921566,44.952595,1197.76001
2015-05-28,126.213676,26.958303,44.801529,1190.550049
2015-05-29,124.777046,26.921566,44.244453,1172.040039
2015-06-01,125.026062,26.802158,44.593803,1166.660034
2015-06-02,124.470581,26.710304,44.301109,1196.02002
2015-06-03,124.623802,26.719496,44.235012,1193.709961
2015-06-04,123.895912,26.278605,43.772362,1185.73999
2015-06-05,123.215904,26.251051,43.564648,1178.160034
2015-06-08,122.401802,25.975498,43.177528,1164.050049
2015-06-09,122.037849,25.938757,43.101997,1163.27002
2015-06-10,123.436188,26.32453,44.008411,1179.939941
2015-06-11,123.158417,26.508232,43.847897,1181.930054
2015-06-12,121.798416,26.214312,43.404137,1174.170044
2015-06-15,121.558975,26.159201,42.941483,1175.359985
2015-06-16,122.210251,26.370455,43.271946,1176.199951
2015-06-17,121.92292,26.572527,43.404137,1163.569946
2015-06-18,122.478409,26.829714,44.112274,1173.959961
2015-06-19,121.252487,26.664381,43.526875,1158.459961
2015-06-22,122.219826,26.581717,43.64962,1150.390015
2015-06-23,121.664322,26.443939,43.347481,1155.949951
2015-06-24,122.698708,26.186756,43.092552,1154.920044
2015-06-25,122.114471,26.08572,43.101997,1149.189941
2015-06-26,121.396149,25.975498,42.733753,1140.900024
2015-06-29,119.269913,25.295801,41.893436,1107.72998
2015-06-30,120.131905,25.222317,41.685722,1151.369995
2015-07-01,121.252487,25.314877,41.968971,1150.349976
2015-07-02,121.099236,25.296364,41.921768,1143.069946
2015-07-06,120.677834,25.194551,41.912315,1141.430054
2015-07-07,120.380928,25.324137,41.827347,1145.01001
2015-07-08,117.392715,24.981668,41.770699,1116.939941
2015-07-09,114.998314,24.907619,42.035069,1126.069946
2015-07-10,118.072723,25.250086,42.120037,1143.189941
2015-07-13,120.352196,25.722139,42.998135,1171.390015
2015-07-14,120.304298,25.944281,43.073662,1171.430054
2015-07-15,121.463196,26.018326,43.205849,1167.540039
2015-07-16,123.081818,26.212698,44.055618,1182.98999
2015-07-17,124.14492,26.083118,44.017853,1216.0
2015-07-20,126.491463,25.944281,44.301109,1247.910034
2015-07-21,125.227188,25.768417,44.641014,1235.199951
2015-07-22,119.930779,25.481483,42.998135,1233.969971
2015-07-23,119.873306,25.925764,43.53632,1228.959961
2015-07-24,119.241196,26.286749,43.375801,1197.420044
2015-07-27,117.584259,26.110886,42.818733,1186.079956
2015-07-28,118.168503,26.110886,42.809303,1208.089966
2015-07-29,117.794968,26.286749,43.706272,1219.430054
2015-07-30,117.201164,26.194187,44.26334,1222.060059
2015-07-31,116.176353,26.305262,44.093388,1243.569946
2015-08-03,113.437157,26.249725,44.19725,1240.47998
2015-08-04,109.797668,25.944281,44.886497,1283.98999
2015-08-05,110.525574,26.16642,44.924271,1351.209961
2015-08-06,110.76609,26.110886,44.017853,1351.800049
2015-08-07,111.141319,26.055347,44.131153,1317.349976
2015-08-10,115.182114,26.46261,44.688225,1323.75
