Date,AAPL,MSFT,PCLN
2015-01-02,103.86647,43.555,1142.060059
2015-01-05,100.940392,43.154472,1097.579956
2015-01-06,100.94989,42.521076,1079.959961
2015-01-07,102.36544,43.061325,1069.569946
2015-01-08,106.298531,44.328106,1082.849976
2015-01-09,106.412552,43.955528,1051.959961
2015-01-12,103.790474,43.40596,1039.97998
2015-01-13,104.711998,43.182419,1037.819946
2015-01-14,104.312988,42.80983,1035.670044
2015-01-15,101.481903,42.362728,998.25
2015-01-16,100.693382,43.070637,1008.219971
2015-01-20,103.286957,43.210358,1024.949951
2015-01-21,104.075485,42.772564,1045.530029
2015-01-22,106.783058,43.899639,1049.680054
2015-01-23,107.334084,43.946213,1037.98999
2015-01-26,107.448074,43.787861,1041.859985
2015-01-27,103.685966,39.736023,1013.859985
2015-01-28,109.547638,38.366768,1003.25
2015-01-29,112.958244,39.130566,1014.73999
2015-01-30,111.305183,37.63092,1009.47998
2015-02-02,112.701721,38.450603,1013.030029
2015-02-03,112.720718,38.748669,1037.550049
2015-02-04,113.585258,38.972233,1028.280029
2015-02-05,114.395966,39.540409,1044.599976
2015-02-06,113.43264,39.503155,1022.419983
2015-02-09,114.186127,39.456585,1033.150024
2015-02-10,116.379814,39.680126,1057.619995
2015-02-11,119.107613,39.475208,1060.060059
2015-02-12,120.614594,40.136551,1091.949951
2015-02-13,121.205933,40.863087,1103.369995
2015-02-17,121.921249,40.881844,1120.98999
2015-02-18,122.770134,40.834942,1122.98999
2015-02-19,122.512596,40.806797,1218.050049
2015-02-20,123.514084,41.144508,1216.22998
2015-02-23,126.85228,41.416557,1207.579956
2015-02-24,126.060654,41.360271,1219.790039
2015-02-25,122.836899,41.266464,1250.859985
2015-02-26,124.391541,41.33213,1241.25
2015-02-27,122.522156,41.135124,1237.47998
2015-03-02,123.123016,41.163273,1249.400024
2015-03-03,123.380539,40.600418,1242.030029
2015-03-04,122.598434,40.394043,1225.670044
2015-03-05,120.56691,40.440945,1231.900024
2015-03-06,120.748108,39.737381,1215.98999
2015-03-09,121.263153,40.197037,1217.0
2015-03-10,118.754723,39.427807,1191.089966
2015-03-11,116.589638,39.380898,1177.550049
2015-03-12,118.697479,38.480343,1186.599976
2015-03-13,117.877243,38.81805,1157.77002
2015-03-16,119.174377,38.986904,1158.439941
2015-03-17,121.16777,39.11824,1153.569946
2015-03-18,122.531677,39.86871,1181.689941
2015-03-19,121.606522,39.671715,1176.319946
2015-03-20,120.080482,40.225189,1179.170044
2015-03-23,121.329918,40.206421,1181.180054
2015-03-24,120.833961,40.24395,1169.719971
2015-03-25,117.676964,38.893097,1152.699951
2015-03-26,118.497215,38.658577,1140.359985
2015-03-27,117.552971,38.433437,1135.189941
2015-03-30,120.528755,38.424053,1149.829956
2015-03-31,118.678413,38.142635,1164.150024
2015-04-01,118.506744,38.198917,1149.599976
2015-04-02,119.527283,37.795536,1160.439941
2015-04-06,121.46344,38.977528,1185.01001
2015-04-07,120.185402,38.958767,1184.97998
2015-04-08,119.794342,38.855576,1192.25
2015-04-09,120.709961,38.911869,1186.0
2015-04-10,121.225006,39.137005,1189.5
2015-04-13,120.986565,39.174526,1199.75
2015-04-14,120.46199,39.071331,1204.709961
2015-04-15,120.919792,39.643566,1200.949951
2015-04-16,120.33799,39.549763,1206.089966
