Date,KO,MSFT,PCLN,PEP
2016-02-23,41.274597,49.321453,1261.890015,94.716339
2016-02-24,41.48243,49.494919,1264.209961,94.849556
2016-02-25,41.718613,50.208042,1263.410034,95.79158
2016-02-26,40.755005,49.437096,1254.27002,93.593529
2016-02-29,40.745556,49.032349,1265.209961,93.079681
2016-03-01,41.274597,50.670616,1295.920044,94.288139
2016-03-02,41.350174,51.027176,1301.369995,94.233521
2016-03-03,41.529667,50.448967,1303.040039,95.028938
2016-03-04,41.671379,50.140583,1297.709961,95.833946
2016-03-07,41.5769,49.176895,1291.430054,95.115189
2016-03-08,41.869762,49.774391,1282.77002,95.58477
2016-03-09,42.332684,50.921169,1291.890015,96.025604
2016-03-10,42.729458,50.159859,1293.77002,96.581451
2016-03-11,43.034122,51.142818,1326.869995,97.089363
2016-03-14,43.119812,51.239185,1325.72998,96.456863
2016-03-15,43.072208,51.643936,1332.130005,96.936035
2016-03-16,42.891308,52.376339,1350.98999,96.629364
2016-03-17,43.576813,52.675079,1346.859985,97.626045
2016-03-18,43.414955,51.547573,1344.219971,97.070206
2016-03-21,43.481602,51.904137,1350.51001,97.309792
2016-03-22,43.319752,52.106506,1319.410034,96.571869
2016-03-23,43.281658,52.010139,1306.109985,96.610207
2016-03-24,43.39592,52.241425,1301.189941,96.485619
2016-03-28,43.605373,51.595753,1287.030029,96.773109
2016-03-29,44.252789,52.723263,1307.890015,97.146866
2016-03-30,44.348003,53.050919,1317.030029,98.411873
2016-03-31,44.167103,53.224377,1288.959961,98.210632
2016-04-01,44.586018,53.552036,1299.699951,99.456474
2016-04-04,44.643143,53.417118,1281.76001,99.494804
2016-04-05,44.300396,52.578712,1279.079956,98.804794
2016-04-06,44.471767,53.11837,1293.01001,99.59063
2016-04-07,44.138546,52.482342,1276.5,99.283966
2016-04-08,44.6241,52.443787,1274.150024,100.702309
2016-04-11,44.214703,52.337795,1264.630005,99.954819
2016-04-12,44.414646,52.665443,1300.280029,100.539398
2016-04-13,43.833878,53.340027,1317.76001,99.782303
2016-04-14,43.633934,53.349663,1336.390015,98.862297
2016-04-15,43.890999,53.629135,1331.900024,99.446884
2016-04-18,44.005249,54.409718,1353.369995,99.398972
2016-04-19,44.367035,54.342258,1345.780029,99.973961
2016-04-20,42.243896,53.571312,1350.0,98.172295
2016-04-21,41.567917,53.754406,1340.0,96.782692
2016-04-22,42.405754,49.899666,1338.5,97.731461
2016-04-25,42.5676,50.217686,1335.27002,98.517296
2016-04-26,42.396229,49.572006,1333.949951,98.32563
2016-04-27,42.539043,49.090164,1353.73999,98.354385
2016-04-28,42.49144,48.087933,1317.589966,98.680214
2016-04-29,42.653294,48.059025,1343.660034,98.670631
2016-05-02,42.824665,48.772156,1356.689941,99.121056
2016-05-03,42.691372,47.972294,1354.640015,99.245636
2016-05-04,42.824665,48.059025,1253.040039,99.68647
2016-05-05,42.900833,48.12648,1240.849976,99.868546
2016-05-06,43.148373,48.560143,1250.099976,100.587311
2016-05-09,43.072208,48.251762,1244.920044,100.893967
2016-05-10,43.55777,49.167263,1268.27002,102.130241
2016-05-11,43.281658,49.196171,1267.310059,101.315651
2016-05-12,43.633934,49.639469,1282.25,101.679817
2016-05-13,43.176933,49.22509,1278.640015,99.839806
2016-05-16,43.433994,49.947849,1283.469971,99.79187
2016-05-17,42.605686,49.016239,1278.02002,98.105202
2016-05-18,42.348618,49.307365,1267.27002,96.706039
2016-05-19,42.196293,48.83186,1250.310059,97.108543
2016-05-20,41.844025,49.122993,1249.290039,95.929779
2016-05-23,41.863064,48.550438,1237.48999,96.23645
2016-05-24,42.243896,50.064304,1256.630005,96.87854
2016-05-25,42.253418,50.578625,1270.180054,96.87854
2016-05-26,42.548557,50.355423,1269.02002,97.6548
2016-05-27,42.634247,50.772713,1273.0,97.712296
2016-05-31,42.462875,51.432602,1264.329956,96.9552
2016-06-01,42.558079,51.287037,1278.0,98.068451
2016-06-02,42.577126,50.927979,1290.0,98.48362
2016-06-03,42.881794,50.258389,1301.709961,98.995369
2016-06-06,43.19598,50.588333,1349.099976,99.159492
2016-06-07,43.148373,50.559216,1360.0,98.956734
2016-06-08,43.367355,50.500992,1354.829956,99.622948
2016-06-09,43.567287,50.09341,1340.069946,100.086403
2016-06-10,43.78627,49.957554,1318.900024,99.748459
2016-06-13,43.287388,48.657181,1315.469971,99.507088
2016-06-14,43.21064,48.35635,1304.099976,99.671234
2016-06-15,43.18185,48.22049,1305.420044,99.313988
2016-06-16,43.469669,48.899788,1323.890015,100.269844
2016-06-17,42.970791,48.64748,1309.23999,99.845024
2016-06-20,43.153076,48.589252,1341.959961,99.806396
2016-06-21,43.296982,49.676128,1343.050049,100.49192
2016-06-22,43.037949,49.482048,1360.099976,100.163635
2016-06-23,43.249016,50.374836,1390.199951,100.839508
2016-06-24,42.145718,48.35635,1232.140015,98.464317
2016-06-27,42.001812,46.997757,1186.050049,98.609146
2016-06-28,42.385567,47.977886,1204.25,98.618797
2016-06-29,42.635006,49.045349,1239.410034,99.565018
2016-06-30,43.488861,49.656723,1248.410034,102.287796
2016-07-01,43.287388,49.647018,1267.369995,101.988487
2016-07-05,43.584801,49.656723,1275.030029,102.751251
2016-07-06,43.431297,49.860512,1292.040039,102.268494
2016-07-07,43.258606,49.860512,1297.26001,103.784355
2016-07-08,43.536827,50.753307,1329.459961,104.537476
2016-07-11,43.719112,51.034729,1351.030029,105.155418
2016-07-12,43.728703,51.636391,1345.430054,105.039551
2016-07-13,43.882206,51.927517,1338.650024,106.120941
2016-07-14,43.834236,52.150719,1346.180054,106.169212
2016-07-15,43.776672,52.1119,1330.569946,105.879562
2016-07-18,43.776672,52.364212,1341.359985,105.445068
2016-07-19,43.776672,51.519943,1327.0,105.754028
2016-07-20,43.661545,54.256546,1352.829956,105.165062
2016-07-21,43.603989,54.149796,1332.5,104.836784
2016-07-22,43.968552,54.897022,1327.400024,105.425758
2016-07-25,43.719112,55.052292,1321.670044,105.26162
2016-07-26,43.057137,55.081406,1324.530029,104.469887
2016-07-27,41.637249,54.528259,1324.47998,103.774719
2016-07-28,41.877098,54.547668,1326.099976,104.402298
2016-07-29,41.857906,55.003773,1350.810059,105.165062
2016-08-01,41.685219,54.906734,1356.079956,105.174728
2016-08-02,41.761967,54.906734,1345.380005,104.971954
2016-08-03,41.867504,55.285198,1371.140015,104.315399
2016-08-04,41.742783,55.692776,1359.98999,104.682297
2016-08-05,41.714001,56.245914,1414.219971,104.914032
2016-08-08,41.675625,56.34296,1405.0,104.411957
2016-08-09,41.704407,56.478825,1407.01001,104.547134
2016-08-10,41.838718,56.304142,1406.280029,105.068512
2016-08-11,41.973038,56.575859,1406.920044,104.740242
2016-08-12,42.241657,56.226505,1407.97998,104.846443
2016-08-15,42.443134,56.40118,1399.160034,104.971954
2016-08-16,42.049786,56.088711,1408.660034,104.276794
2016-08-17,42.270439,56.205887,1427.199951,104.730568
2016-08-18,42.308815,56.244946,1443.069946,104.547134
2016-08-19,42.136124,56.264477,1432.0,104.440918
2016-08-22,41.963444,56.313301,1423.98999,104.238167
2016-08-23,42.06897,56.528126,1422.469971,104.160912
2016-08-24,42.06897,56.586712,1410.180054,104.382988
2016-08-25,41.896282,56.801537,1415.550049,104.160912
2016-08-26,41.560497,56.664833,1419.790039,103.745735
2016-08-29,41.771561,56.733185,1425.189941,104.26712
2016-08-30,41.483746,56.528126,1416.550049,103.514015
2016-08-31,41.666027,56.108238,1416.72998,103.79892
2016-09-01,41.589279,56.23518,1418.589966,104.323982
2016-09-02,41.886692,56.313301,1422.849976,104.887962
2016-09-06,42.01141,56.254715,1436.959961,104.936562
2016-09-07,41.867504,56.303535,1444.01001,104.246193
2016-09-08,41.857906,56.078945,1445.829956,103.925308
2016-09-09,40.553143,54.887646,1413.900024,101.173553
2016-09-12,41.435776,55.707886,1436.209961,103.089088
2016-09-13,40.894131,55.200119,1415.949951,101.698624
2016-09-14,40.72971,54.93647,1429.380005,102.145912
2016-09-15,40.971512,55.844593,1457.219971,102.564026
2016-09-16,40.758724,55.903187,1460.050049,102.36956
2016-09-19,40.720036,55.59071,1448.060059,102.748764
