Date,AMZN,MSFT
2015-10-06,537.47998,46.75
2015-10-07,541.940002,46.799999
2015-10-08,533.159973,47.450001
2015-10-09,539.799988,47.110001
2015-10-12,550.190002,47.0
2015-10-13,548.900024,46.889999
2015-10-14,544.830017,46.68
2015-10-15,562.440002,47.009998
2015-10-16,570.76001,47.509998
2015-10-19,573.150024,47.619999
2015-10-20,560.880005,47.77
2015-10-21,555.77002,47.200001
2015-10-22,563.909973,48.029999
2015-10-23,599.030029,52.869999
2015-10-26,608.609985,54.25
2015-10-27,611.01001,53.689999
2015-10-28,617.099976,53.98
2015-10-29,626.549988,53.360001
2015-10-30,625.900024,52.639999
2015-11-02,628.349976,53.240002
2015-11-03,625.309998,54.150002
2015-11-04,640.950012,54.400002
2015-11-05,655.650024,54.380001
2015-11-06,659.369995,54.919998
2015-11-09,655.48999,54.16
2015-11-10,659.679993,53.509998
2015-11-11,673.25,53.650002
2015-11-12,665.599976,53.32
2015-11-13,642.349976,52.84
2015-11-16,647.809998,53.77
2015-11-17,643.299988,52.970001
2015-11-18,663.539978,53.849998
2015-11-19,661.27002,53.939999
2015-11-20,668.450012,54.189999
2015-11-23,678.98999,54.189999
2015-11-24,671.150024,54.25
2015-11-25,675.340027,53.689999
2015-11-27,673.26001,53.93
2015-11-30,664.799988,54.349998
2015-12-01,679.059998,55.220001
2015-12-02,676.01001,55.209999
2015-12-03,666.25,54.200001
2015-12-04,672.640015,55.91
2015-12-07,669.830017,55.810001
2015-12-08,677.330017,55.790001
2015-12-09,664.789978,54.98
2015-12-10,662.320007,55.27
2015-12-11,640.150024,54.060001
2015-12-14,657.909973,55.139999
2015-12-15,658.640015,55.200001
2015-12-16,675.77002,56.130001
2015-12-17,670.650024,55.700001
2015-12-18,664.140015,54.130001
2015-12-21,664.51001,54.830002
2015-12-22,663.150024,55.349998
2015-12-23,663.700012,55.82
2015-12-24,662.789978,55.669998
2015-12-28,675.200012,55.950001
2015-12-29,693.969971,56.549999
2015-12-30,689.070007,56.310001
2015-12-31,675.890015,55.48
2016-01-04,636.98999,54.799999
2016-01-05,633.789978,55.049999
2016-01-06,632.650024,54.049999
2016-01-07,607.940002,52.169998
2016-01-08,607.049988,52.330002
2016-01-11,617.73999,52.299999
2016-01-12,617.890015,52.779999
2016-01-13,581.809998,51.639999
2016-01-14,593.0,53.110001
2016-01-15,570.179993,50.990002
2016-01-19,574.47998,50.560001
2016-01-20,571.77002,50.790001
2016-01-21,575.02002,50.48
2016-01-22,596.380005,52.290001
2016-01-25,596.530029,51.790001
2016-01-26,601.25,52.169998
2016-01-27,583.349976,51.220001
2016-01-28,635.349976,52.060001
2016-01-29,587.0,55.09
2016-02-01,574.809998,54.709999
2016-02-02,552.099976,53.0
2016-02-03,531.070007,52.16
2016-02-04,536.26001,52.0
2016-02-05,502.130005,50.16
2016-02-08,488.100006,49.41
2016-02-09,482.070007,49.279999
2016-02-10,490.480011,49.709999
2016-02-11,503.820007,49.689999
2016-02-12,507.079987,50.5
2016-02-16,521.099976,51.09
2016-02-17,534.099976,52.419998
2016-02-18,525.0,52.189999
2016-02-19,534.900024,51.82
2016-02-22,559.5,52.650002
2016-02-23,552.940002,51.18
2016-02-24,554.039978,51.360001
2016-02-25,555.150024,52.099998
2016-02-26,555.22998,51.299999
2016-02-29,552.52002,50.880001
2016-03-01,579.039978,52.580002
2016-03-02,580.210022,52.950001
2016-03-03,577.48999,52.349998
2016-03-04,575.140015,52.029999
2016-03-07,562.799988,51.029999
2016-03-08,560.26001,51.650002
2016-03-09,559.469971,52.84
2016-03-10,558.929993,52.049999
2016-03-11,569.609985,53.07
2016-03-14,573.369995,53.169998
2016-03-15,577.02002,53.59
2016-03-16,574.27002,54.349998
2016-03-17,559.440002,54.66
2016-03-18,552.080017,53.490002
2016-03-21,553.97998,53.860001
2016-03-22,560.47998,54.07
2016-03-23,569.630005,53.970001
2016-03-24,582.950012,54.209999
2016-03-28,579.869995,53.540001
2016-03-29,593.859985,54.709999
2016-03-30,598.690002,55.049999
2016-03-31,593.640015,55.23
