Date,AAPL,MSFT
2015-09-30,106.119179,42.065155
2015-10-01,105.42646,42.397797
2015-10-02,106.196136,43.310192
2015-10-05,106.580978,44.317627
2015-10-06,107.090881,44.431675
2015-10-07,106.580978,44.479198
2015-10-08,105.349495,45.096962
2015-10-09,107.870178,44.773827
2015-10-12,107.369888,44.669281
2015-10-13,107.552696,44.564732
2015-10-14,106.032578,44.365143
2015-10-15,107.620049,44.67878
2015-10-16,106.831116,45.153984
2015-10-19,107.494957,45.25853
2015-10-20,109.457634,45.401089
2015-10-21,109.448021,44.85936
2015-10-22,111.122078,45.648201
2015-10-23,114.566376,50.248184
2015-10-26,110.910416,51.55975
2015-10-27,110.208076,51.027523
2015-10-28,114.749161,51.303135
2015-10-29,115.961411,50.71389
2015-10-30,114.970459,50.029591
2015-11-02,116.586769,50.599834
2015-11-03,117.924095,51.46471
2015-11-04,117.375694,51.702312
2015-11-05,116.834602,51.683304
2015-11-06,116.969872,52.196522
2015-11-09,116.496429,51.474209
2015-11-10,112.824814,50.856441
2015-11-11,112.187119,50.989502
2015-11-12,111.810295,50.675869
2015-11-13,108.544479,50.219673
2015-11-16,110.322327,51.103554
2015-11-17,109.848885,50.682556
2015-11-18,113.327248,51.524551
2015-11-19,114.766914,51.610664
2015-11-20,115.269348,51.849869
2015-11-23,113.771706,51.849869
2015-11-24,114.863525,51.907284
2015-11-25,114.042252,51.37146
2015-11-27,113.829681,51.601093
2015-11-30,114.303123,52.00296
2015-12-01,113.375557,52.835396
2015-12-02,112.351372,52.825821
2015-12-03,111.307861,51.85944
2015-12-04,115.008461,53.495594
2015-12-07,114.283798,53.399914
2015-12-08,114.235489,53.380775
2015-12-09,111.713676,52.605755
2015-12-10,112.245087,52.883236
2015-12-11,109.356125,51.725483
2015-12-14,108.679771,52.758842
2015-12-15,106.756989,52.816257
2015-12-16,107.57827,53.706093
2015-12-17,105.298019,53.294666
2015-12-18,102.44767,51.792465
2015-12-21,103.703766,52.462234
2015-12-22,103.607155,52.959778
2015-12-23,104.940506,53.409485
2015-12-24,104.380112,53.265953
2015-12-28,103.210999,53.533871
2015-12-29,105.066116,54.107956
2015-12-30,103.694107,53.878323
2015-12-31,101.703697,53.084164
2016-01-04,101.790649,52.433533
2016-01-05,99.239845,52.672737
2016-01-06,97.29776,51.715916
2016-01-07,93.191338,49.917099
2016-01-08,93.68412,50.070198
2016-01-11,95.201073,50.041489
2016-01-12,96.582756,50.500759
2016-01-13,94.099594,49.409988
2016-01-14,96.157608,50.816513
2016-01-15,93.848373,48.788059
2016-01-19,93.394257,48.376629
2016-01-20,93.519867,48.596699
2016-01-21,93.046417,48.300083
2016-01-22,97.993423,50.031921
2016-01-25,96.080322,49.553509
2016-01-26,96.61174,49.917099
2016-01-27,90.263725,49.008129
2016-01-28,90.911087,49.811855
2016-01-29,94.05127,52.711006
2016-02-01,93.172028,52.347412
2016-02-02,91.28791,50.711258
2016-02-03,93.094734,49.907536
2016-02-04,93.842743,49.754448
2016-02-05,91.336388,47.993904
2016-02-08,92.298134,47.276287
2016-02-09,92.278694,47.151901
2016-02-10,91.579254,47.563332
2016-02-11,91.025528,47.544201
2016-02-12,91.307251,48.319218
2016-02-16,93.881607,49.234718
2016-02-17,95.319359,50.516418
2016-02-18,93.512459,50.294781
2016-02-19,93.298737,49.938213
2016-02-22,94.114754,50.738071
2016-02-23,91.987267,49.321453
2016-02-24,93.357018,49.494919
2016-02-25,93.998184,50.208042
2016-02-26,94.143906,49.437096
2016-02-29,93.930183,49.032349
2016-03-01,97.660561,50.670616
2016-03-02,97.874298,51.027176
2016-03-03,98.602882,50.448967
2016-03-04,100.069786,50.140583
2016-03-07,98.962318,49.176895
2016-03-08,98.146294,49.774391
2016-03-09,98.233734,50.921169
2016-03-10,98.282295,50.159859
2016-03-11,99.341187,51.142818
2016-03-14,99.593773,51.239185
2016-03-15,101.594978,51.643936
2016-03-16,102.945305,52.376339
2016-03-17,102.780144,52.675079
2016-03-18,102.896729,51.547573
2016-03-21,102.887009,51.904137
2016-03-22,103.673882,52.106506
2016-03-23,103.100731,52.010139
2016-03-24,102.653854,52.241425
2016-03-28,102.187561,51.595753
2016-03-29,104.606491,52.723263
2016-03-30,106.432831,53.050919
2016-03-31,105.879097,53.224377
