Date,AAPL,CSCO,MCD,MSFT,PCLN
2015-01-02,103.86647,25.167488,85.768135,43.555,1142.060059
2015-01-05,100.940392,24.666143,84.820885,43.154472,1097.579956
2015-01-06,100.94989,24.65703,84.977226,42.521076,1079.959961
2015-01-07,102.36544,24.884909,86.457886,43.061325,1069.569946
2015-01-08,106.298531,25.076332,86.779785,44.328106,1082.849976
2015-01-09,106.412552,25.331562,85.72216,43.955528,1051.959961
2015-01-12,103.790474,25.568563,85.538231,43.40596,1039.97998
2015-01-13,104.711998,25.61414,85.372673,43.182419,1037.819946
2015-01-14,104.312988,25.45006,84.186302,42.80983,1035.670044
2015-01-15,101.481903,24.98518,84.039154,42.362728,998.25
2015-01-16,100.693382,25.231291,84.140335,43.070637,1008.219971
2015-01-20,103.286957,25.586792,83.505753,43.210358,1024.949951
2015-01-21,104.075485,25.37714,83.082695,42.772564,1045.530029
2015-01-22,106.783058,25.97875,83.588516,43.899639,1049.680054
2015-01-23,107.334084,25.714405,82.365356,43.946213,1037.98999
2015-01-26,107.448074,25.495638,83.386208,43.787861,1041.859985
2015-01-27,103.685966,24.520296,82.374573,39.736023,1013.859985
2015-01-28,109.547638,24.438255,81.648033,38.366768,1003.25
2015-01-29,112.958244,24.811985,85.777336,39.130566,1014.73999
2015-01-30,111.305183,24.037184,85.014008,37.63092,1009.47998
2015-02-02,112.701721,24.456488,85.078384,38.450603,1013.030029
2015-02-03,112.720718,24.720835,86.375114,38.748669,1037.550049
2015-02-04,113.585258,24.328876,86.494675,38.972233,1028.280029
2015-02-05,114.395966,24.848452,86.761368,39.540409,1044.599976
2015-02-06,113.43264,24.830219,86.439491,39.503155,1022.419983
2015-02-09,114.186127,24.720835,85.271523,39.456585,1033.150024
2015-02-10,116.379814,25.058102,86.467079,39.680126,1057.619995
2015-02-11,119.107613,24.54764,86.64183,39.475208,1060.060059
2015-02-12,120.614594,26.853827,87.451118,40.136551,1091.949951
2015-02-13,121.205933,26.826483,87.966164,40.863087,1103.369995
2015-02-17,121.921249,26.717094,86.770561,40.881844,1120.98999
2015-02-18,122.770134,26.881174,86.982086,40.834942,1122.98999
2015-02-19,122.512596,26.717094,86.623436,40.806797,1218.050049
2015-02-20,123.514084,26.990555,86.623436,41.144508,1216.22998
2015-02-23,126.85228,27.008787,86.733788,41.416557,1207.579956
2015-02-24,126.060654,27.008787,87.349976,41.360271,1219.790039
2015-02-25,122.836899,26.881174,90.734344,41.266464,1250.859985
2015-02-26,124.391541,27.264015,92.311371,41.33213,1241.25
2015-02-27,122.522156,26.899403,91.745491,41.135124,1237.47998
2015-03-02,123.123016,27.519245,92.765907,41.163273,1249.400024
2015-03-03,123.380539,26.92675,92.524727,40.600418,1242.030029
2015-03-04,122.598434,26.735331,92.997833,40.394043,1225.670044
2015-03-05,120.56691,26.707981,91.9403,40.440945,1231.900024
2015-03-06,120.748108,26.370712,90.103531,39.737381,1215.98999
2015-03-09,121.263153,26.762672,90.641579,40.197037,1217.0
2015-03-10,118.754723,26.124598,89.324295,39.427807,1191.089966
2015-03-11,116.589638,25.759983,88.0905,39.380898,1177.550049
2015-03-12,118.697479,25.741753,89.287186,38.480343,1186.599976
2015-03-13,117.877243,25.468292,89.379959,38.81805,1157.77002
2015-03-16,119.174377,25.796444,90.122078,38.986904,1158.439941
2015-03-17,121.16777,25.659716,89.212982,39.11824,1153.569946
2015-03-18,122.531677,25.659716,89.982941,39.86871,1181.689941
2015-03-19,121.606522,25.759983,89.03672,39.671715,1176.319946
2015-03-20,120.080482,25.924061,90.02932,40.225189,1179.170044
2015-03-23,121.329918,25.896713,91.485741,40.206421,1181.180054
2015-03-24,120.833961,25.522984,92.172203,40.24395,1169.719971
2015-03-25,117.676964,25.030754,91.040466,38.893097,1152.699951
2015-03-26,118.497215,24.693487,90.576637,38.658577,1140.359985
2015-03-27,117.552971,24.729946,89.945824,38.433437,1135.189941
2015-03-30,120.528755,25.203943,90.799263,38.424053,1149.829956
2015-03-31,118.678413,25.286613,90.391098,38.142635,1164.150024
2015-04-01,118.506744,25.029428,89.324295,38.198917,1149.599976
2015-04-02,119.527283,24.919209,88.897583,37.795536,1160.439941
