Date,AAPL,MSFT,PCLN
2015-06-30,125.43,44.150002,1151.369995
2015-07-01,126.599998,44.450001,1150.349976
2015-07-02,126.440002,44.400002,1143.069946
2015-07-06,126.0,44.389999,1141.430054
2015-07-07,125.690002,44.299999,1145.01001
2015-07-08,122.57,44.240002,1116.939941
2015-07-09,120.07,44.52,1126.069946
2015-07-10,123.279999,44.610001,1143.189941
2015-07-13,125.660004,45.540001,1171.390015
2015-07-14,125.610001,45.619999,1171.430054
2015-07-15,126.82,45.759998,1167.540039
2015-07-16,128.509995,46.66,1182.98999
2015-07-17,129.619995,46.619999,1216.0
2015-07-20,132.070007,46.919998,1247.910034
2015-07-21,130.75,47.279999,1235.199951
2015-07-22,125.220001,45.540001,1233.969971
2015-07-23,125.160004,46.110001,1228.959961
2015-07-24,124.5,45.939999,1197.420044
2015-07-27,122.769997,45.349998,1186.079956
2015-07-28,123.379997,45.34,1208.089966
2015-07-29,122.989998,46.290001,1219.430054
2015-07-30,122.370003,46.880001,1222.060059
2015-07-31,121.300003,46.700001,1243.569946
2015-08-03,118.440002,46.810001,1240.47998
2015-08-04,114.639999,47.540001,1283.98999
2015-08-05,115.400002,47.580002,1351.209961
2015-08-06,115.129997,46.619999,1351.800049
2015-08-07,115.519997,46.740002,1317.349976
2015-08-10,119.720001,47.330002,1323.75
2015-08-11,113.489998,46.41,1307.869995
2015-08-12,115.239998,46.740002,1294.709961
2015-08-13,115.150002,46.73,1285.469971
2015-08-14,115.959999,47.0,1283.800049
2015-08-17,117.160004,47.32,1306.560059
2015-08-18,116.5,47.27,1291.829956
2015-08-19,115.010002,46.610001,1291.349976
2015-08-20,112.650002,45.66,1257.540039
2015-08-21,105.760002,43.07,1216.920044
2015-08-24,103.120003,41.68,1174.119995
2015-08-25,103.739998,40.470001,1178.810059
2015-08-26,109.690002,42.709999,1223.459961
2015-08-27,112.919998,43.900002,1252.01001
2015-08-28,113.290001,43.93,1259.390015
2015-08-31,112.760002,43.52,1248.640015
2015-09-01,107.720001,41.82,1215.359985
2015-09-02,112.339996,43.360001,1242.869995
2015-09-03,110.370003,43.5,1240.369995
2015-09-04,109.269997,42.610001,1245.25
2015-09-08,112.309998,43.889999,1280.400024
2015-09-09,110.150002,43.07,1276.719971
2015-09-10,112.57,43.290001,1287.73999
2015-09-11,114.209999,43.48,1290.410034
2015-09-14,115.309998,43.040001,1286.829956
2015-09-15,116.279999,43.98,1318.800049
2015-09-16,116.410004,44.299999,1320.47998
2015-09-17,113.919998,44.25,1318.0
2015-09-18,113.449997,43.48,1294.469971
2015-09-21,115.209999,44.110001,1307.47998
2015-09-22,113.400002,43.900002,1288.949951
2015-09-23,114.32,43.869999,1275.98999
2015-09-24,115.0,43.91,1281.130005
2015-09-25,114.709999,43.939999,1252.76001
2015-09-28,112.440002,43.290001,1199.140015
2015-09-29,109.059998,43.439999,1200.319946
2015-09-30,110.300003,44.259998,1236.859985
2015-10-01,109.580002,44.610001,1247.079956
2015-10-02,110.379997,45.57,1265.680054
2015-10-05,110.779999,46.630001,1274.859985
2015-10-06,111.309998,46.75,1275.449951
2015-10-07,110.779999,46.799999,1291.579956
2015-10-08,109.5,47.450001,1304.319946
2015-10-09,112.120003,47.110001,1313.290039
2015-10-12,111.599998,47.0,1347.189941
2015-10-13,111.790001,46.889999,1345.0
2015-10-14,110.209999,46.68,1311.079956
2015-10-15,111.860001,47.009998,1327.290039
2015-10-16,111.040001,47.509998,1336.569946
2015-10-19,111.730003,47.619999,1376.130005
2015-10-20,113.769997,47.77,1372.51001
2015-10-21,113.760002,47.200001,1364.290039
2015-10-22,115.5,48.029999,1354.469971
2015-10-23,119.080002,52.869999,1366.48999
2015-10-26,115.279999,54.25,1416.319946
2015-10-27,114.550003,53.689999,1403.280029
2015-10-28,119.269997,53.98,1404.52002
2015-10-29,120.529999,53.360001,1425.650024
2015-10-30,119.5,52.639999,1454.23999
2015-11-02,121.18,53.240002,1467.189941
2015-11-03,122.57,54.150002,1464.900024
2015-11-04,122.0,54.400002,1469.560059
2015-11-05,120.919998,54.380001,1462.640015
2015-11-06,121.059998,54.919998,1449.900024
2015-11-09,120.57,54.16,1311.150024
2015-11-10,116.769997,53.509998,1323.540039
2015-11-11,116.110001,53.650002,1329.579956
2015-11-12,115.720001,53.32,1314.01001
2015-11-13,112.339996,52.84,1297.75
2015-11-16,114.18,53.77,1266.869995
2015-11-17,113.690002,52.970001,1258.790039
2015-11-18,117.290001,53.849998,1278.5
2015-11-19,118.779999,53.939999,1284.650024
2015-11-20,119.300003,54.189999,1281.530029
2015-11-23,117.75,54.189999,1264.319946
2015-11-24,118.879997,54.25,1240.180054
2015-11-25,118.029999,53.689999,1245.75
2015-11-27,117.809998,53.93,1244.98999
2015-11-30,118.300003,54.349998,1248.849976
2015-12-01,117.339996,55.220001,1282.5
2015-12-02,116.279999,55.209999,1275.439941
2015-12-03,115.199997,54.200001,1280.079956
2015-12-04,119.029999,55.91,1300.47998
2015-12-07,118.279999,55.810001,1302.420044
2015-12-08,118.230003,55.790001,1303.969971
2015-12-09,115.620003,54.98,1294.98999
2015-12-10,116.169998,55.27,1306.5
2015-12-11,113.18,54.060001,1285.329956
2015-12-14,112.480003,55.139999,1297.880005
2015-12-15,110.489998,55.200001,1323.72998
2015-12-16,111.339996,56.130001,1332.310059
2015-12-17,108.980003,55.700001,1313.73999
2015-12-18,106.029999,54.130001,1285.670044
2015-12-21,107.330002,54.830002,1275.709961
2015-12-22,107.230003,55.349998,1277.48999
2015-12-23,108.610001,55.82,1279.050049
2015-12-24,108.029999,55.669998,1273.069946
2015-12-28,106.82,55.950001,1272.959961
2015-12-29,108.739998,56.549999,1302.400024
2015-12-30,107.32,56.310001,1289.160034
2015-12-31,105.260002,55.48,1274.949951
2016-01-04,105.349998,54.799999,1245.369995
2016-01-05,102.709999,55.049999,1210.689941
2016-01-06,100.699997,54.049999,1196.709961
2016-01-07,96.449997,52.169998,1167.189941
2016-01-08,96.959999,52.330002,1136.959961
2016-01-11,98.529999,52.299999,1136.280029
2016-01-12,99.959999,52.779999,1148.920044
2016-01-13,97.389999,51.639999,1098.900024
2016-01-14,99.519997,53.110001,1121.380005
2016-01-15,97.129997,50.990002,1086.73999
2016-01-19,96.660004,50.560001,1094.5
2016-01-20,96.790001,50.790001,1081.329956
2016-01-21,96.300003,50.48,1089.140015
2016-01-22,101.419998,52.290001,1118.109985
2016-01-25,99.440002,51.790001,1097.930054
2016-01-26,99.989998,52.169998,1111.540039
2016-01-27,93.419998,51.220001,1043.699951
2016-01-28,94.089996,52.060001,1043.130005
2016-01-29,97.339996,55.09,1064.969971
