Date,AAPL,AMZN,JPM,MSFT
2015-06-02,124.470581,430.98999,61.84507,44.301109
2015-06-03,124.623802,436.589996,62.482059,44.235012
2015-06-04,123.895912,430.779999,62.135471,43.772362
2015-06-05,123.215904,426.950012,63.156536,43.564648
2015-06-08,122.401802,423.5,62.660057,43.177528
2015-06-09,122.037849,425.480011,62.931725,43.101997
2015-06-10,123.436188,430.769989,63.94342,44.008411
2015-06-11,123.158417,432.970001,64.186974,43.847897
2015-06-12,121.798416,429.920013,63.934052,43.404137
2015-06-15,121.558975,423.670013,63.690495,42.941483
2015-06-16,122.210251,427.26001,64.046471,43.271946
2015-06-17,121.92292,427.809998,63.831009,43.404137
2015-06-18,122.478409,439.390015,64.430534,44.112274
2015-06-19,121.252487,434.920013,63.774803,43.526875
2015-06-22,122.219826,436.290009,64.599159,43.64962
2015-06-23,121.664322,445.98999,65.339195,43.347481
2015-06-24,122.698708,440.839996,64.65535,43.092552
2015-06-25,122.114471,440.100006,64.308754,43.101997
2015-06-26,121.396149,438.100006,64.589798,42.733753
2015-06-29,119.269913,429.859985,62.950443,41.893436
2015-06-30,120.131905,434.089996,63.475033,41.685722
2015-07-01,121.252487,437.390015,64.182198,41.968971
2015-07-02,121.099236,437.709991,63.663609,41.921768
2015-07-06,120.677834,436.040009,63.484463,41.912315
2015-07-07,120.380928,436.720001,62.984745,41.827347
2015-07-08,117.392715,429.700012,61.692986,41.770699
2015-07-09,114.998314,434.390015,62.334152,42.035069
2015-07-10,118.072723,443.51001,63.220463,42.120037
2015-07-13,120.352196,455.570007,64.201057,42.998135
2015-07-14,120.304298,465.570007,65.096809,43.073662
2015-07-15,121.463196,461.190002,65.238235,43.205849
2015-07-16,123.081818,475.480011,65.587097,44.055618
2015-07-17,124.14492,483.01001,65.257088,44.017853
2015-07-20,126.491463,488.100006,65.304237,44.301109
2015-07-21,125.227188,488.0,65.153366,44.641014
2015-07-22,119.930779,488.269989,66.077408,42.998135
2015-07-23,119.873306,482.179993,65.662529,43.53632
2015-07-24,119.241196,529.419983,64.974228,43.375801
2015-07-27,117.584259,531.409973,64.125633,42.818733
2015-07-28,118.168503,526.030029,64.163345,42.809303
2015-07-29,117.794968,529.0,65.002502,43.706272
2015-07-30,117.201164,536.76001,65.096809,44.26334
2015-07-31,116.176353,536.150024,64.615929,44.093388
2015-08-03,113.437157,535.030029,64.615929,44.19725
2015-08-04,109.797668,531.900024,64.549919,44.886497
2015-08-05,110.525574,537.01001,64.804504,44.924271
2015-08-06,110.76609,529.460022,64.351929,44.017853
2015-08-07,111.141319,522.619995,64.163345,44.131153
2015-08-10,115.182114,524.0,64.955376,44.688225
2015-08-11,109.188248,527.460022,64.333069,43.819569
2015-08-12,110.871918,525.909973,63.399612,44.131153
2015-08-13,110.785339,529.659973,63.691914,44.121716
2015-08-14,111.564629,531.52002,64.012482,44.37664
2015-08-17,112.719162,535.219971,64.182198,44.67878
2015-08-18,112.084152,535.02002,64.314209,44.925888
2015-08-19,110.650642,532.919983,63.739048,44.298618
2015-08-20,108.380096,515.780029,62.173851,43.395733
2015-08-21,101.751259,494.470001,59.967503,40.934166
2015-08-24,99.211334,463.369995,56.808838,39.613098
2015-08-25,99.807816,466.369995,56.488258,38.463104
2015-08-26,105.532295,500.769989,59.316914,40.592014
2015-08-27,108.639862,518.369995,60.797245,41.723003
2015-08-28,108.995834,518.01001,60.467236,41.751518
2015-08-31,108.485931,512.890015,60.43895,41.361858
2015-09-01,103.636963,496.540009,57.940304,39.746147
2015-09-02,108.081833,510.549988,58.996334,41.209785
2015-09-03,106.186516,504.720001,59.100056,41.342838
2015-09-04,105.128212,499.0,57.987446,40.496979
2015-09-08,108.052979,517.539978,59.552631,41.713501
2015-09-09,105.974854,516.890015,58.628609,40.934166
2015-09-10,108.303116,522.23999,59.081192,41.143253
2015-09-11,109.880959,529.440002,58.986908,41.32383
2015-09-14,110.939262,521.380005,58.817184,40.905655
2015-09-15,111.872498,522.369995,59.948654,41.799038
2015-09-16,111.997581,527.390015,60.476665,42.103172
2015-09-17,109.601952,538.869995,59.071766,42.055649
2015-09-18,109.149773,540.26001,57.459431,41.32383
2015-09-21,110.843056,548.390015,57.940304,41.922592
2015-09-22,109.101662,538.400024,57.431145,41.723003
2015-09-23,109.986801,536.070007,57.176567,41.694489
2015-09-24,110.641022,533.75,56.780556,41.73251
2015-09-25,110.362015,524.25,57.95916,41.761021
2015-09-28,108.178062,504.059998,56.554264,41.143253
2015-09-29,104.926178,496.070007,56.42226,41.285816
2015-09-30,106.119179,511.890015,57.48772,42.065155
2015-10-01,105.42646,520.719971,57.912018,42.397797
2015-10-02,106.196136,532.539978,57.750568,43.310192
2015-10-05,106.580978,543.679993,58.899696,44.317627
2015-10-06,107.090881,537.47998,58.928185,44.431675
2015-10-07,106.580978,541.940002,59.004154,44.479198
2015-10-08,105.349495,533.159973,59.004154,45.096962
2015-10-09,107.870178,539.799988,58.814224,44.773827
2015-10-12,107.369888,550.190002,58.614784,44.669281
2015-10-13,107.552696,548.900024,58.453335,44.564732
2015-10-14,106.032578,544.830017,56.971828,44.365143
2015-10-15,107.620049,562.440002,58.776237,44.67878
2015-10-16,106.831116,570.76001,59.289063,45.153984
2015-10-19,107.494957,573.150024,59.089634,45.25853
