Date,AAPL,AMZN,MSFT,NFLX
2015-06-24,128.110001,440.839996,45.639999,96.944283
2015-06-25,127.5,440.100006,45.650002,94.891426
2015-06-26,126.75,438.100006,45.259998,93.08857
2015-06-29,124.529999,429.859985,44.369999,92.23143
2015-06-30,125.43,434.089996,44.150002,93.848572
2015-07-01,126.599998,437.390015,44.450001,93.635712
2015-07-02,126.440002,437.709991,44.400002,94.044289
2015-07-06,126.0,436.040009,44.389999,94.571426
2015-07-07,125.690002,436.720001,44.299999,94.091431
2015-07-08,122.57,429.700012,44.240002,93.507141
2015-07-09,120.07,434.390015,44.52,95.727142
2015-07-10,123.279999,443.51001,44.610001,97.228569
2015-07-13,125.660004,455.570007,45.540001,101.087143
2015-07-14,125.610001,465.570007,45.619999,100.371429
2015-07-15,126.82,461.190002,45.759998,98.129997
2015-07-16,128.509995,475.480011,46.66,115.809998
2015-07-17,129.619995,483.01001,46.619999,114.769997
2015-07-20,132.070007,488.100006,46.919998,110.550003
2015-07-21,130.75,488.0,47.279999,112.510002
2015-07-22,125.220001,488.269989,45.540001,111.5
2015-07-23,125.160004,482.179993,46.110001,110.099998
2015-07-24,124.5,529.419983,45.939999,109.339996
2015-07-27,122.769997,531.409973,45.349998,106.43
2015-07-28,123.379997,526.030029,45.34,106.900002
2015-07-29,122.989998,529.0,46.290001,107.080002
2015-07-30,122.370003,536.76001,46.880001,111.559998
2015-07-31,121.300003,536.150024,46.700001,114.309998
2015-08-03,118.440002,535.030029,46.810001,112.559998
2015-08-04,114.639999,531.900024,47.540001,121.150002
2015-08-05,115.400002,537.01001,47.580002,123.709999
2015-08-06,115.129997,529.460022,46.619999,126.449997
2015-08-07,115.519997,522.619995,46.740002,123.519997
2015-08-10,119.720001,524.0,47.330002,123.029999
2015-08-11,113.489998,527.460022,46.41,122.739998
2015-08-12,115.239998,525.909973,46.740002,120.510002
2015-08-13,115.150002,529.659973,46.73,123.730003
2015-08-14,115.959999,531.52002,47.0,123.389999
2015-08-17,117.160004,535.219971,47.32,125.360001
2015-08-18,116.5,535.02002,47.27,124.050003
2015-08-19,115.010002,532.919983,46.610001,122.059998
2015-08-20,112.650002,515.780029,45.66,112.489998
2015-08-21,105.760002,494.470001,43.07,103.959999
2015-08-24,103.120003,463.369995,41.68,96.879997
2015-08-25,103.739998,466.369995,40.470001,101.519997
2015-08-26,109.690002,500.769989,42.709999,110.129997
2015-08-27,112.919998,518.369995,43.900002,117.660004
2015-08-28,113.290001,518.01001,43.93,117.629997
2015-08-31,112.760002,512.890015,43.52,115.029999
2015-09-01,107.720001,496.540009,41.82,105.790001
2015-09-02,112.339996,510.549988,43.360001,105.440002
2015-09-03,110.370003,504.720001,43.5,101.059998
2015-09-04,109.269997,499.0,42.610001,98.790001
2015-09-08,112.309998,517.539978,43.889999,94.949997
2015-09-09,110.150002,516.890015,43.07,99.18
2015-09-10,112.57,522.23999,43.290001,99.480003
2015-09-11,114.209999,529.440002,43.48,97.510002
2015-09-14,115.309998,521.380005,43.040001,95.690002
2015-09-15,116.279999,522.369995,43.98,99.160004
2015-09-16,116.410004,527.390015,44.299999,104.080002
2015-09-17,113.919998,538.869995,44.25,104.209999
2015-09-18,113.449997,540.26001,43.48,102.620003
2015-09-21,115.209999,548.390015,44.110001,100.300003
2015-09-22,113.400002,538.400024,43.900002,98.470001
2015-09-23,114.32,536.070007,43.869999,98.07
2015-09-24,115.0,533.75,43.91,103.760002
2015-09-25,114.709999,524.25,43.939999,102.239998
2015-09-28,112.440002,504.059998,43.290001,99.470001
2015-09-29,109.059998,496.070007,43.439999,98.349998
2015-09-30,110.300003,511.890015,44.259998,103.260002
2015-10-01,109.580002,520.719971,44.610001,105.980003
2015-10-02,110.379997,532.539978,45.57,106.110001
2015-10-05,110.779999,543.679993,46.630001,111.25
2015-10-06,111.309998,537.47998,46.75,108.330002
2015-10-07,110.779999,541.940002,46.799999,108.099998
2015-10-08,109.5,533.159973,47.450001,114.93
2015-10-09,112.120003,539.799988,47.110001,113.330002
2015-10-12,111.599998,550.190002,47.0,113.449997
2015-10-13,111.790001,548.900024,46.889999,109.730003
2015-10-14,110.209999,544.830017,46.68,110.230003
2015-10-15,111.860001,562.440002,47.009998,101.089996
2015-10-16,111.040001,570.76001,47.509998,98.989998
2015-10-19,111.730003,573.150024,47.619999,101.690002
2015-10-20,113.769997,560.880005,47.77,98.989998
2015-10-21,113.760002,555.77002,47.200001,97.959999
2015-10-22,115.5,563.909973,48.029999,97.32
2015-10-23,119.080002,599.030029,52.869999,100.040001
2015-10-26,115.279999,608.609985,54.25,103.040001
2015-10-27,114.550003,611.01001,53.689999,103.07
2015-10-28,119.269997,617.099976,53.98,105.800003
2015-10-29,120.529999,626.549988,53.360001,105.120003
2015-10-30,119.5,625.900024,52.639999,108.379997
2015-11-02,121.18,628.349976,53.240002,107.639999
2015-11-03,122.57,625.309998,54.150002,109.739998
2015-11-04,122.0,640.950012,54.400002,114.050003
2015-11-05,120.919998,655.650024,54.380001,113.5
2015-11-06,121.059998,659.369995,54.919998,114.059998
2015-11-09,120.57,655.48999,54.16,109.860001
2015-11-10,116.769997,659.679993,53.509998,112.699997
2015-11-11,116.110001,673.25,53.650002,112.860001
2015-11-12,115.720001,665.599976,53.32,108.919998
2015-11-13,112.339996,642.349976,52.84,103.650002
2015-11-16,114.18,647.809998,53.77,111.349998
2015-11-17,113.690002,643.299988,52.970001,117.099998
2015-11-18,117.290001,663.539978,53.849998,120.629997
2015-11-19,118.779999,661.27002,53.939999,120.220001
2015-11-20,119.300003,668.450012,54.189999,123.839996
2015-11-23,117.75,678.98999,54.189999,125.029999
2015-11-24,118.879997,671.150024,54.25,123.309998
