Date,AAPL,AMZN,BAC,C,CRM,GOOG,JPM,MS,MSFT,PCLN
2015-01-02,109.330002,308.519989,17.9,54.259998,59.240002,521.937744,62.490002,38.709999,46.759998,1142.060059
2015-01-05,106.25,302.190002,17.379999,52.549999,58.169998,511.057617,60.549999,37.5,46.330002,1097.579956
2015-01-06,106.260002,295.290009,16.860001,50.700001,57.200001,499.212799,58.98,36.419998,45.650002,1079.959961
2015-01-07,107.75,298.420013,16.940001,51.169998,56.93,498.357513,59.07,36.939999,46.23,1069.569946
2015-01-08,111.889999,300.459991,17.290001,51.939999,58.59,499.928864,60.389999,37.490002,47.59,1082.849976
2015-01-09,112.010002,296.929993,16.98,50.779999,58.16,493.454498,59.34,36.880001,47.189999,1051.959961
2015-01-12,109.25,291.410004,16.68,50.380001,57.73,489.854309,58.830002,36.369999,46.599998,1039.97998
2015-01-13,110.220001,294.73999,16.450001,50.02,57.970001,493.464447,58.84,36.029999,46.360001,1037.819946
2015-01-14,109.800003,293.269989,16.040001,49.049999,57.25,498.128784,56.810001,35.209999,45.959999,1035.670044
2015-01-15,106.82,286.950012,15.2,47.23,55.110001,499.043732,54.990002,34.580002,45.48,998.25
2015-01-16,105.989998,290.73999,15.38,47.610001,56.639999,505.299316,55.93,34.889999,46.240002,1008.219971
2015-01-20,108.720001,289.440002,15.26,47.259998,57.290001,504.125763,55.709999,34.75,46.389999,1024.949951
2015-01-21,109.550003,297.25,15.41,47.740002,57.709999,515.204773,55.889999,34.73,45.919998,1045.530029
2015-01-22,112.400002,310.320007,16.09,49.57,58.0,531.465332,57.59,35.529999,47.130001,1049.680054
2015-01-23,112.980003,312.390015,15.73,48.619999,58.619999,536.994873,56.68,35.150002,47.18,1037.98999
2015-01-26,113.099998,309.660004,15.85,48.889999,59.779999,532.280823,56.77,35.110001,47.009998,1041.859985
2015-01-27,109.139999,306.75,15.63,48.310001,57.790001,515.791565,56.200001,34.66,42.66,1013.859985
2015-01-28,115.309998,303.910004,15.2,47.110001,56.349998,507.208801,54.75,33.77,41.189999,1003.25
2015-01-29,118.900002,311.779999,15.43,47.619999,58.099998,507.865204,55.669998,34.369999,42.009998,1014.73999
2015-01-30,117.160004,354.529999,15.15,46.950001,56.450001,531.594604,54.380001,33.810001,40.400002,1009.47998
2015-02-02,118.629997,364.470001,15.46,47.720001,57.279999,525.587646,55.470001,34.419998,41.279999,1013.030029
2015-02-03,118.650002,363.549988,15.89,48.880001,58.610001,526.343506,56.720001,35.040001,41.599998,1037.550049
2015-02-04,119.559998,364.75,15.79,48.400002,58.990002,519.898987,56.380001,34.77,41.84,1028.280029
2015-02-05,119.940002,373.890015,15.97,48.540001,59.259998,524.692566,56.77,34.93,42.450001,1044.599976
2015-02-06,118.93,374.279999,16.49,49.139999,59.169998,528.093872,57.889999,35.790001,42.41,1022.419983
2015-02-09,119.720001,370.559998,16.35,49.209999,57.98,524.941223,57.82,35.630001,42.360001,1033.150024
2015-02-10,122.019997,373.0,16.42,49.389999,58.790001,534.001343,58.459999,36.16,42.599998,1057.619995
2015-02-11,124.879997,375.140015,16.360001,49.68,58.799999,533.036682,58.369999,36.369999,42.380001,1060.060059
2015-02-12,126.459999,377.170013,16.67,50.889999,61.259998,539.958557,59.57,36.900002,43.09,1091.949951
2015-02-13,127.080002,381.829987,16.610001,51.200001,62.849998,546.00531,59.669998,36.779999,43.869999,1103.369995
2015-02-17,127.830002,375.429993,16.629999,51.689999,62.07,539.86908,60.099998,36.919998,43.580002,1120.98999
2015-02-18,128.720001,373.369995,16.299999,51.419998,63.0,536.746277,59.369999,36.369999,43.529999,1122.98999
2015-02-19,128.449997,379.0,16.209999,51.119999,62.810001,539.901306,59.23,36.330002,43.5,1218.050049
2015-02-20,129.5,383.660004,16.379999,51.779999,63.740002,536.000366,59.799999,36.740002,43.860001,1216.22998
2015-02-23,133.0,380.140015,16.200001,51.32,62.580002,528.998901,59.349998,36.27,44.150002,1207.579956
2015-02-24,132.169998,378.589996,16.379999,51.900002,61.93,533.156006,60.82,36.740002,44.09,1219.790039
2015-02-25,128.789993,385.369995,16.49,52.09,62.869999,540.893433,61.139999,36.59,43.990002,1250.859985
2015-02-26,130.419998,384.799988,16.040001,52.41,70.239998,552.43988,61.580002,36.060001,44.060001,1241.25
2015-02-27,128.460007,380.160004,15.81,52.419998,69.379997,555.343933,61.279999,35.790001,43.849998,1237.47998
2015-03-02,129.089996,385.660004,16.01,53.490002,68.459999,568.213074,61.77,36.240002,43.880001,1249.400024
2015-03-03,129.360001,384.609985,16.040001,53.73,66.949997,570.500488,61.970001,35.82,43.279999,1242.030029
2015-03-04,128.539993,382.720001,15.84,53.669998,64.879997,570.231995,62.130001,35.09,43.060001,1225.670044
2015-03-05,126.410004,387.829987,16.0,53.560001,65.589996,572.181274,62.0,35.52,43.110001,1231.900024
2015-03-06,126.599998,380.089996,16.219999,53.060001,64.559998,564.578125,60.889999,35.529999,42.360001,1215.98999
2015-03-09,127.139999,378.559998,16.17,52.950001,65.480003,565.736694,61.5,35.669998,42.849998,1217.0
2015-03-10,124.510002,369.51001,15.79,51.23,63.759998,551.972473,59.959999,34.880001,42.029999,1191.089966
2015-03-11,122.239998,366.369995,16.110001,52.330002,63.68,548.163452,60.240002,34.950001,41.98,1177.550049
2015-03-12,124.449997,374.23999,16.09,54.080002,64.949997,552.469727,61.369999,37.09,41.02,1186.599976
2015-03-13,123.589996,370.579987,16.09,53.540001,64.599998,544.324585,61.0,36.349998,41.380001,1157.77002
2015-03-16,124.949997,373.350006,16.129999,53.689999,66.43,551.47522,61.849998,36.73,41.560001,1158.439941
2015-03-17,127.040001,371.920013,16.09,53.84,67.550003,547.825317,61.610001,36.549999,41.700001,1153.569946
2015-03-18,128.470001,375.140015,15.98,53.720001,68.550003,556.437866,61.75,36.73,42.5,1181.689941
2015-03-19,127.5,373.23999,15.61,52.380001,68.879997,554.936157,61.200001,36.110001,42.290001,1176.319946
2015-03-20,125.900002,378.48999,15.84,52.98,67.690002,557.293213,61.75,36.5,42.880001,1179.170044
2015-03-23,127.209999,375.109985,15.72,52.48,67.660004,555.751648,61.139999,36.310001,42.860001,1181.180054
2015-03-24,126.690002,374.089996,15.61,51.939999,67.370003,567.069397,60.459999,36.240002,42.900002,1169.719971
2015-03-25,123.379997,370.959991,15.41,51.380001,65.779999,555.726807,59.610001,35.450001,41.459999,1152.699951
2015-03-26,124.239998,367.350006,15.42,51.189999,65.989998,552.131592,59.540001,35.619999,41.209999,1140.359985
2015-03-27,123.25,370.559998,15.31,51.0,66.550003,545.338989,59.549999,35.830002,40.970001,1135.189941
2015-03-30,126.370003,374.589996,15.52,51.639999,66.849998,549.008789,60.959999,36.310001,40.959999,1149.829956
2015-03-31,124.43,372.100006,15.39,51.52,66.809998,545.000854,60.580002,35.689999,40.66,1164.150024
2015-04-01,124.25,370.26001,15.41,51.619999,66.080002,539.590576,59.950001,35.970001,40.720001,1149.599976
2015-04-02,125.32,372.25,15.54,51.860001,66.68,532.59906,60.52,36.060001,40.290001,1160.439941
2015-04-06,127.349998,377.040009,15.51,51.619999,67.940002,533.827332,60.470001,35.91,41.549999,1185.01001
2015-04-07,126.010002,374.410004,15.46,51.52,68.199997,534.080933,60.849998,35.939999,41.529999,1184.97998
2015-04-08,125.599998,381.200012,15.61,51.889999,68.209999,538.645813,61.049999,36.259998,41.419998,1192.25
2015-04-09,126.559998,383.540009,15.71,52.130001,67.739998,537.820374,61.470001,36.639999,41.48,1186.0
2015-04-10,127.099998,382.649994,15.72,52.43,67.639999,537.054565,61.700001,36.240002,41.720001,1189.5
2015-04-13,126.849998,382.359985,15.8,52.66,67.080002,536.219177,62.07,36.299999,41.759998,1199.75
2015-04-14,126.300003,385.109985,15.82,52.73,66.910004,527.487183,63.040001,36.84,41.650002,1204.709961
2015-04-15,126.779999,383.450012,15.64,53.209999,67.209999,529.617859,64.209999,37.389999,42.259998,1200.949951
2015-04-16,126.169998,386.040009,15.79,54.02,67.910004,530.87854,63.810001,37.360001,42.16,1206.089966
2015-04-17,124.75,375.559998,15.56,53.07,65.809998,521.181885,62.84,36.75,41.619999,1187.530029
2015-04-20,127.599998,389.51001,15.57,53.200001,66.900002,532.44989,63.240002,36.959999,42.91,1191.420044
2015-04-21,126.910004,391.179993,15.5,52.48,67.379997,531.049988,62.310001,36.75,42.639999,1194.26001
2015-04-22,128.619995,389.799988,15.74,53.099998,67.709999,536.413086,62.939999,37.200001,42.990002,1212.900024
2015-04-23,129.669998,389.98999,15.69,53.220001,68.470001,544.006287,62.799999,37.380001,43.34,1221.099976
2015-04-24,130.279999,445.100006,15.64,52.900002,67.830002,561.967468,62.599998,37.360001,47.869999,1233.089966
2015-04-27,132.649994,438.559998,15.56,52.799999,67.839996,555.369995,62.34,37.049999,48.029999,1253.199951
2015-04-28,130.559998,429.309998,15.65,53.02,66.889999,553.679993,62.759998,37.040001,49.16,1242.119995
2015-04-29,128.639999,429.369995,15.98,53.759998,74.650002,549.080017,63.599998,37.490002,49.060001,1248.51001
2015-04-30,125.150002,421.779999,15.93,53.32,72.82,537.340027,63.259998,37.310001,48.639999,1237.810059
2015-05-01,128.949997,422.869995,16.110001,53.759998,73.360001,537.900024,63.610001,37.509998,48.66,1260.430054
2015-05-04,128.699997,423.040009,16.440001,54.169998,71.599998,540.780029,64.720001,37.91,48.240002,1267.459961
2015-05-05,125.800003,421.190002,16.35,53.349998,72.75,530.799988,64.400002,37.450001,47.599998,1263.319946
2015-05-06,125.010002,419.100006,16.290001,52.82,73.790001,524.219971,63.919998,37.049999,46.279999,1264.150024
2015-05-07,125.260002,426.880005,16.24,53.310001,74.519997,530.700012,64.5,37.540001,46.700001,1213.48999
2015-05-08,127.620003,433.690002,16.450001,54.02,72.400002,538.219971,65.489998,37.889999,47.75,1204.76001
2015-05-11,126.32,432.850006,16.49,53.970001,71.199997,535.700012,65.449997,38.25,47.369999,1186.380005
2015-05-12,125.870003,431.019989,16.43,53.740002,71.769997,529.039978,65.360001,37.720001,47.349998,1183.469971
2015-05-13,126.010002,426.869995,16.469999,54.200001,71.790001,529.619995,65.519997,37.779999,47.630001,1177.75
2015-05-14,128.949997,432.279999,16.52,54.599998,72.879997,538.400024,66.050003,38.139999,48.720001,1190.089966
2015-05-15,128.770004,426.0,16.35,54.240002,72.400002,533.849976,65.879997,37.849998,48.299999,1198.800049
2015-05-18,130.190002,425.23999,16.51,54.669998,72.800003,532.299988,66.419998,38.330002,48.009998,1216.839966
2015-05-19,130.070007,421.709991,16.77,55.330002,71.480003,537.359985,67.010002,38.689999,47.580002,1213.660034
2015-05-20,130.059998,423.859985,16.74,54.889999,70.160004,539.27002,66.480003,38.330002,47.580002,1208.180054
2015-05-21,131.389999,431.630005,16.73,54.84,72.910004,542.51001,66.650002,38.040001,47.419998,1212.630005
2015-05-22,132.539993,427.630005,16.75,54.970001,75.010002,540.109985,66.470001,38.169998,46.900002,1208.5
2015-05-26,129.619995,425.470001,16.5,54.240002,73.57,532.320007,65.730003,37.790001,46.59,1195.780029
2015-05-27,132.039993,431.420013,16.74,54.869999,73.949997,539.789978,66.470001,38.619999,47.610001,1197.76001
2015-05-28,131.779999,426.570007,16.67,54.549999,72.68,539.780029,66.199997,38.73,47.450001,1190.550049
2015-05-29,130.279999,429.230011,16.5,54.080002,72.75,532.109985,65.779999,38.200001,46.860001,1172.040039
2015-06-01,130.539993,430.920013,16.549999,54.450001,73.099998,533.98999,66.080002,38.580002,47.23,1166.660034
2015-06-02,129.960007,430.98999,16.719999,54.720001,72.900002,539.179993,66.019997,38.52,46.919998,1196.02002
2015-06-03,130.119995,436.589996,16.93,55.630001,73.470001,540.309998,66.699997,39.009998,46.849998,1193.709961
2015-06-04,129.360001,430.779999,16.780001,55.330002,72.209999,536.700012,66.330002,38.700001,46.360001,1185.73999
2015-06-05,128.649994,426.950012,17.190001,56.240002,73.550003,533.330017,67.419998,39.290001,46.139999,1178.160034
2015-06-08,127.800003,423.5,17.08,55.650002,71.839996,526.830017,66.889999,39.09,45.73,1164.050049
2015-06-09,127.419998,425.480011,17.309999,56.0,71.760002,526.690002,67.18,39.130001,45.650002,1163.27002
2015-06-10,128.880005,430.769989,17.59,57.02,73.029999,536.690002,68.260002,39.889999,46.610001,1179.939941
2015-06-11,128.589996,432.970001,17.49,57.209999,72.400002,534.609985,68.519997,39.869999,46.439999,1181.930054
2015-06-12,127.169998,429.920013,17.49,57.110001,71.769997,532.330017,68.25,39.610001,45.970001,1174.170044
2015-06-15,126.919998,423.670013,17.469999,56.650002,72.559998,527.200012,67.989998,39.529999,45.48,1175.359985
2015-06-16,127.599998,427.26001,17.549999,57.07,73.400002,528.150024,68.370003,39.740002,45.830002,1176.199951
2015-06-17,127.300003,427.809998,17.370001,56.540001,74.419998,529.26001,68.139999,39.580002,45.970001,1163.569946
2015-06-18,127.879997,439.390015,17.379999,56.759998,75.709999,536.72998,68.779999,39.790001,46.720001,1173.959961
2015-06-19,126.599998,434.920013,17.17,56.23,75.0,536.690002,68.080002,39.369999,46.099998,1158.459961
2015-06-22,127.610001,436.290009,17.469999,56.950001,74.779999,538.190002,68.959999,39.849998,46.23,1150.390015
2015-06-23,127.029999,445.98999,17.67,57.389999,74.199997,540.47998,69.75,40.209999,45.91,1155.949951
2015-06-24,128.110001,440.839996,17.49,56.66,73.5,537.840027,69.019997,39.639999,45.639999,1154.920044
2015-06-25,127.5,440.100006,17.370001,56.189999,73.610001,535.22998,68.650002,39.220001,45.650002,1149.189941
2015-06-26,126.75,438.100006,17.41,56.34,72.339996,531.690002,68.949997,39.5,45.259998,1140.900024
2015-06-29,124.529999,429.859985,16.889999,54.880001,70.0,521.52002,67.199997,38.310001,44.369999,1107.72998
2015-06-30,125.43,434.089996,17.02,55.240002,69.629997,520.51001,67.760002,38.790001,44.150002,1151.369995
2015-07-01,126.599998,437.390015,17.219999,55.68,70.540001,521.840027,68.07,39.360001,44.450001,1150.349976
2015-07-02,126.440002,437.709991,17.030001,55.369999,70.419998,523.400024,67.519997,39.0,44.400002,1143.069946
2015-07-06,126.0,436.040009,16.940001,55.080002,69.160004,522.859985,67.330002,38.849998,44.389999,1141.430054
2015-07-07,125.690002,436.720001,16.690001,54.5,70.260002,525.02002,66.800003,38.619999,44.299999,1145.01001
2015-07-08,122.57,429.700012,16.25,52.799999,69.389999,516.830017,65.43,37.790001,44.240002,1116.939941
2015-07-09,120.07,434.390015,16.48,53.709999,69.959999,520.679993,66.110001,38.099998,44.52,1126.069946
2015-07-10,123.279999,443.51001,16.700001,54.560001,71.139999,530.130005,67.050003,38.639999,44.610001,1143.189941
2015-07-13,125.660004,455.570007,17.02,55.540001,71.050003,546.549988,68.089996,39.32,45.540001,1171.390015
2015-07-14,125.610001,465.570007,17.129999,55.91,71.790001,561.099976,69.040001,39.709999,45.619999,1171.430054
2015-07-15,126.82,461.190002,17.68,56.459999,71.360001,560.219971,69.190002,39.700001,45.759998,1167.540039
2015-07-16,128.509995,475.480011,17.950001,58.59,72.419998,579.849976,69.559998,39.91,46.66,1182.98999
2015-07-17,129.619995,483.01001,18.1,58.75,72.809998,672.929993,69.209999,40.200001,46.619999,1216.0
2015-07-20,132.070007,488.100006,18.120001,58.849998,72.769997,663.02002,69.260002,40.040001,46.919998,1247.910034
2015-07-21,130.75,488.0,18.08,59.099998,73.830002,662.299988,69.099998,40.080002,47.279999,1235.199951
2015-07-22,125.220001,488.269989,18.450001,60.34,73.870003,662.099976,70.080002,40.540001,45.540001,1233.969971
2015-07-23,125.160004,482.179993,18.18,59.869999,72.209999,644.280029,69.639999,39.939999,46.110001,1228.959961
2015-07-24,124.5,529.419983,17.9,58.700001,73.919998,623.559998,68.910004,39.599998,45.939999,1197.420044
2015-07-27,122.769997,531.409973,17.67,57.959999,72.459999,627.26001,68.010002,39.25,45.349998,1186.079956
2015-07-28,123.379997,526.030029,17.879999,58.369999,73.790001,628.0,68.050003,39.25,45.34,1208.089966
2015-07-29,122.989998,529.0,18.16,58.919998,73.879997,631.929993,68.940002,39.290001,46.290001,1219.430054
2015-07-30,122.370003,536.76001,18.129999,58.880001,73.360001,632.590027,69.040001,39.299999,46.880001,1222.060059
2015-07-31,121.300003,536.150024,17.879999,58.459999,73.300003,625.609985,68.529999,38.84,46.700001,1243.569946
2015-08-03,118.440002,535.030029,17.77,58.439999,72.440002,631.210022,68.529999,38.759998,46.810001,1240.47998
2015-08-04,114.639999,531.900024,17.799999,58.470001,71.889999,629.25,68.459999,38.919998,47.540001,1283.98999
2015-08-05,115.400002,537.01001,17.870001,58.740002,72.529999,643.780029,68.730003,39.0,47.580002,1351.209961
2015-08-06,115.129997,529.460022,17.809999,58.099998,70.43,642.679993,68.25,38.93,46.619999,1351.800049
2015-08-07,115.519997,522.619995,17.75,57.91,70.410004,635.299988,68.050003,38.580002,46.740002,1317.349976
2015-08-10,119.720001,524.0,18.040001,58.740002,71.269997,633.72998,68.889999,39.080002,47.330002,1323.75
2015-08-11,113.489998,527.460022,17.790001,57.639999,71.629997,660.780029,68.230003,37.919998,46.41,1307.869995
2015-08-12,115.239998,525.909973,17.52,56.91,71.040001,659.559998,67.239998,37.57,46.740002,1294.709961
2015-08-13,115.150002,529.659973,17.620001,57.330002,71.400002,656.450012,67.550003,37.75,46.73,1285.469971
2015-08-14,115.959999,531.52002,17.700001,57.59,72.989998,657.119995,67.889999,38.049999,47.0,1283.800049
2015-08-17,117.160004,535.219971,17.77,57.77,74.040001,660.869995,68.07,38.139999,47.32,1306.560059
2015-08-18,116.5,535.02002,17.690001,57.549999,72.580002,656.130005,68.209999,37.82,47.27,1291.829956
2015-08-19,115.010002,532.919983,17.459999,57.0,72.040001,660.900024,67.599998,37.439999,46.610001,1291.349976
2015-08-20,112.650002,515.780029,16.719999,55.330002,67.82,646.830017,65.940002,36.169998,45.66,1257.540039
2015-08-21,105.760002,494.470001,16.1,53.599998,69.150002,612.47998,63.599998,34.209999,43.07,1216.920044
2015-08-24,103.120003,463.369995,15.29,50.34,65.169998,589.609985,60.25,32.259998,41.68,1174.119995
2015-08-25,103.739998,466.369995,15.26,49.880001,65.18,582.059998,59.91,31.76,40.470001,1178.810059
2015-08-26,109.690002,500.769989,16.059999,52.279999,68.519997,628.619995,62.91,33.299999,42.709999,1223.459961
2015-08-27,112.919998,518.369995,16.440001,53.439999,69.940002,637.609985,64.480003,34.299999,43.900002,1252.01001
2015-08-28,113.290001,518.01001,16.360001,53.279999,70.25,630.380005,64.129997,34.049999,43.93,1259.390015
2015-08-31,112.760002,512.890015,16.34,53.48,69.360001,618.25,64.099998,34.450001,43.52,1248.640015
2015-09-01,107.720001,496.540009,15.58,50.939999,66.629997,597.789978,61.450001,33.119999,41.82,1215.359985
2015-09-02,112.339996,510.549988,15.85,51.75,67.980003,614.340027,62.57,33.790001,43.360001,1242.869995
2015-09-03,110.370003,504.720001,15.94,51.790001,68.25,606.25,62.68,33.799999,43.5,1240.369995
2015-09-04,109.269997,499.0,15.65,50.59,67.129997,600.700012,61.5,33.189999,42.610001,1245.25
2015-09-08,112.309998,517.539978,16.16,51.650002,70.760002,614.659973,63.16,34.27,43.889999,1280.400024
2015-09-09,110.150002,516.890015,15.9,50.880001,69.029999,612.719971,62.18,33.75,43.07,1276.719971
2015-09-10,112.57,522.23999,16.040001,51.07,69.739998,621.349976,62.66,33.869999,43.290001,1287.73999
2015-09-11,114.209999,529.440002,16.040001,51.099998,70.050003,625.77002,62.560001,33.990002,43.48,1290.410034
2015-09-14,115.309998,521.380005,15.96,50.98,69.889999,623.23999,62.380001,33.810001,43.040001,1286.829956
2015-09-15,116.279999,522.369995,16.309999,52.0,71.269997,635.140015,63.580002,34.580002,43.98,1318.800049
2015-09-16,116.410004,527.390015,16.33,52.59,71.879997,635.97998,64.139999,34.619999,44.299999,1320.47998
2015-09-17,113.919998,538.869995,15.86,51.650002,72.32,642.900024,62.650002,34.049999,44.25,1318.0
2015-09-18,113.449997,540.26001,15.56,50.290001,71.400002,629.25,60.939999,33.029999,43.48,1294.469971
2015-09-21,115.209999,548.390015,15.7,50.709999,72.139999,635.440002,61.450001,33.34,44.110001,1307.47998
2015-09-22,113.400002,538.400024,15.57,50.380001,71.650002,622.690002,60.91,32.439999,43.900002,1288.949951
2015-09-23,114.32,536.070007,15.72,50.119999,71.989998,622.359985,60.639999,32.32,43.869999,1275.98999
2015-09-24,115.0,533.75,15.55,49.130001,71.709999,625.799988,60.220001,31.969999,43.91,1281.130005
2015-09-25,114.709999,524.25,15.89,50.549999,72.440002,611.969971,61.470001,32.189999,43.939999,1252.76001
2015-09-28,112.440002,504.059998,15.47,49.029999,69.040001,594.890015,59.98,31.09,43.290001,1199.140015
2015-09-29,109.059998,496.070007,15.35,49.0,68.379997,594.969971,59.84,31.01,43.439999,1200.319946
2015-09-30,110.300003,511.890015,15.58,49.610001,69.43,608.419983,60.970001,31.5,44.259998,1236.859985
2015-10-01,109.580002,520.719971,15.55,49.889999,72.910004,611.289978,61.419998,31.5,44.610001,1247.079956
2015-10-02,110.379997,532.539978,15.38,49.880001,73.93,626.909973,60.810001,31.43,45.57,1265.680054
2015-10-05,110.779999,543.679993,15.69,51.16,75.269997,641.469971,62.02,32.290001,46.630001,1274.859985
2015-10-06,111.309998,537.47998,15.69,51.060001,74.419998,645.440002,62.049999,32.360001,46.75,1275.449951
2015-10-07,110.779999,541.940002,15.75,51.32,75.0,642.359985,62.130001,32.93,46.799999,1291.579956
2015-10-08,109.5,533.159973,15.75,51.650002,75.089996,639.159973,62.130001,32.990002,47.450001,1304.319946
2015-10-09,112.120003,539.799988,15.58,51.380001,75.25,643.609985,61.93,32.720001,47.110001,1313.290039
2015-10-12,111.599998,550.190002,15.52,51.279999,75.879997,646.669983,61.720001,32.799999,47.0,1347.189941
2015-10-13,111.790001,548.900024,15.52,51.209999,76.629997,652.299988,61.549999,32.610001,46.889999,1345.0
2015-10-14,110.209999,544.830017,15.64,50.720001,75.580002,651.159973,59.990002,32.540001,46.68,1311.079956
2015-10-15,111.860001,562.440002,16.190001,52.970001,77.699997,661.73999,61.889999,33.610001,47.009998,1327.290039
2015-10-16,111.040001,570.76001,16.120001,52.689999,78.769997,662.200012,62.43,33.950001,47.509998,1336.569946
2015-10-19,111.730003,573.150024,16.139999,52.860001,77.93,666.099976,62.220001,32.32,47.619999,1376.130005
2015-10-20,113.769997,560.880005,16.200001,52.84,77.529999,650.280029,62.52,32.25,47.77,1372.51001
2015-10-21,113.760002,555.77002,15.9,51.810001,75.830002,642.609985,62.060001,31.48,47.200001,1364.290039
