Date,AMZN,MSFT
2015-10-01,520.719971,42.397797
2015-10-02,532.539978,43.310192
2015-10-05,543.679993,44.317627
2015-10-06,537.47998,44.431675
2015-10-07,541.940002,44.479198
2015-10-08,533.159973,45.096962
2015-10-09,539.799988,44.773827
2015-10-12,550.190002,44.669281
2015-10-13,548.900024,44.564732
2015-10-14,544.830017,44.365143
2015-10-15,562.440002,44.67878
2015-10-16,570.76001,45.153984
2015-10-19,573.150024,45.25853
2015-10-20,560.880005,45.401089
2015-10-21,555.77002,44.85936
2015-10-22,563.909973,45.648201
2015-10-23,599.030029,50.248184
2015-10-26,608.609985,51.55975
2015-10-27,611.01001,51.027523
2015-10-28,617.099976,51.303135
2015-10-29,626.549988,50.71389
2015-10-30,625.900024,50.029591
2015-11-02,628.349976,50.599834
2015-11-03,625.309998,51.46471
2015-11-04,640.950012,51.702312
2015-11-05,655.650024,51.683304
2015-11-06,659.369995,52.196522
2015-11-09,655.48999,51.474209
2015-11-10,659.679993,50.856441
2015-11-11,673.25,50.989502
2015-11-12,665.599976,50.675869
2015-11-13,642.349976,50.219673
2015-11-16,647.809998,51.103554
2015-11-17,643.299988,50.682556
2015-11-18,663.539978,51.524551
2015-11-19,661.27002,51.610664
2015-11-20,668.450012,51.849869
2015-11-23,678.98999,51.849869
2015-11-24,671.150024,51.907284
2015-11-25,675.340027,51.37146
2015-11-27,673.26001,51.601093
2015-11-30,664.799988,52.00296
2015-12-01,679.059998,52.835396
2015-12-02,676.01001,52.825821
2015-12-03,666.25,51.85944
2015-12-04,672.640015,53.495594
2015-12-07,669.830017,53.399914
2015-12-08,677.330017,53.380775
2015-12-09,664.789978,52.605755
2015-12-10,662.320007,52.883236
2015-12-11,640.150024,51.725483
2015-12-14,657.909973,52.758842
2015-12-15,658.640015,52.816257
2015-12-16,675.77002,53.706093
2015-12-17,670.650024,53.294666
2015-12-18,664.140015,51.792465
2015-12-21,664.51001,52.462234
2015-12-22,663.150024,52.959778
2015-12-23,663.700012,53.409485
2015-12-24,662.789978,53.265953
2015-12-28,675.200012,53.533871
2015-12-29,693.969971,54.107956
2015-12-30,689.070007,53.878323
2015-12-31,675.890015,53.084164
2016-01-04,636.98999,52.433533
