Date,AAPL,MSFT
2015-01-02,109.330002,46.759998
2015-01-05,106.25,46.330002
2015-01-06,106.260002,45.650002
2015-01-07,107.75,46.23
2015-01-08,111.889999,47.59
2015-01-09,112.010002,47.189999
2015-01-12,109.25,46.599998
2015-01-13,110.220001,46.360001
2015-01-14,109.800003,45.959999
2015-01-15,106.82,45.48
2015-01-16,105.989998,46.240002
2015-01-20,108.720001,46.389999
2015-01-21,109.550003,45.919998
2015-01-22,112.400002,47.130001
2015-01-23,112.980003,47.18
2015-01-26,113.099998,47.009998
2015-01-27,109.139999,42.66
2015-01-28,115.309998,41.189999
2015-01-29,118.900002,42.009998
2015-01-30,117.160004,40.400002
2015-02-02,118.629997,41.279999
2015-02-03,118.650002,41.599998
2015-02-04,119.559998,41.84
2015-02-05,119.940002,42.450001
2015-02-06,118.93,42.41
2015-02-09,119.720001,42.360001
2015-02-10,122.019997,42.599998
2015-02-11,124.879997,42.380001
2015-02-12,126.459999,43.09
2015-02-13,127.080002,43.869999
2015-02-17,127.830002,43.580002
2015-02-18,128.720001,43.529999
2015-02-19,128.449997,43.5
2015-02-20,129.5,43.860001
2015-02-23,133.0,44.150002
2015-02-24,132.169998,44.09
2015-02-25,128.789993,43.990002
2015-02-26,130.419998,44.060001
2015-02-27,128.460007,43.849998
2015-03-02,129.089996,43.880001
2015-03-03,129.360001,43.279999
2015-03-04,128.539993,43.060001
2015-03-05,126.410004,43.110001
2015-03-06,126.599998,42.360001
2015-03-09,127.139999,42.849998
2015-03-10,124.510002,42.029999
2015-03-11,122.239998,41.98
2015-03-12,124.449997,41.02
2015-03-13,123.589996,41.380001
2015-03-16,124.949997,41.560001
2015-03-17,127.040001,41.700001
2015-03-18,128.470001,42.5
2015-03-19,127.5,42.290001
2015-03-20,125.900002,42.880001
2015-03-23,127.209999,42.860001
2015-03-24,126.690002,42.900002
2015-03-25,123.379997,41.459999
2015-03-26,124.239998,41.209999
2015-03-27,123.25,40.970001
2015-03-30,126.370003,40.959999
2015-03-31,124.43,40.66
2015-04-01,124.25,40.720001
2015-04-02,125.32,40.290001
2015-04-06,127.349998,41.549999
2015-04-07,126.010002,41.529999
2015-04-08,125.599998,41.419998
2015-04-09,126.559998,41.48
2015-04-10,127.099998,41.720001
2015-04-13,126.849998,41.759998
2015-04-14,126.300003,41.650002
2015-04-15,126.779999,42.259998
2015-04-16,126.169998,42.16
2015-04-17,124.75,41.619999
2015-04-20,127.599998,42.91
2015-04-21,126.910004,42.639999
2015-04-22,128.619995,42.990002
2015-04-23,129.669998,43.34
2015-04-24,130.279999,47.869999
2015-04-27,132.649994,48.029999
