Date,AAPL,AMZN,GOOG,MSFT
2006-06-06,8.531428,33.41,193.73494,22.129999
2006-06-07,8.365714,33.77,192.00618,22.040001
2006-06-08,8.68,33.549999,195.379242,22.110001
2006-06-09,8.462857,33.779999,192.035995,21.92
2006-06-12,8.142858,33.599998,189.537247,21.709999
2006-06-13,8.332857,33.470001,192.011154,21.51
2006-06-14,8.23,33.68,190.953033,21.879999
2006-06-15,8.482857,34.959999,194.236679,22.07
2006-06-16,8.222857,35.09,194.087646,22.1
2006-06-19,8.171429,35.07,192.815918,22.549999
2006-06-20,8.21,35.48,192.334045,22.559999
2006-06-21,8.265715,36.650002,199.765717,23.08
2006-06-22,8.511429,36.369999,198.682755,22.879999
2006-06-23,8.404285,36.549999,201.121902,22.5
2006-06-26,8.427143,36.77,200.80397,22.82
2006-06-27,8.204286,36.48,199.860107,22.860001
2006-06-28,8.002857,36.700001,201.742859,23.16
2006-06-29,8.424286,38.52,207.555054,23.469999
2006-06-30,8.181429,38.68,208.31015,23.299999
2006-07-03,8.278571,38.610001,210.232635,23.700001
2006-07-05,8.142858,37.110001,209.368256,23.35
2006-07-06,7.967143,36.799999,210.227676,23.48
2006-07-07,7.914286,36.110001,208.866531,23.299999
2006-07-10,7.857143,35.790001,207.748795,23.5
2006-07-11,7.95,35.66,210.908249,23.1
2006-07-12,7.565714,34.630001,207.276871,22.639999
2006-07-13,7.464286,33.73,203.09407,22.26
2006-07-14,7.238572,32.919998,200.446289,22.290001
2006-07-17,7.481429,33.669998,202.627106,22.48
2006-07-18,7.557143,33.490002,200.222748,22.74
2006-07-19,7.728571,34.48,198.210831,23.4
2006-07-20,8.642858,34.18,192.309219,22.85
2006-07-21,8.674286,33.189999,193.794556,23.870001
2006-07-24,8.774285,34.310001,194.186996,24.0
2006-07-25,8.847143,33.59,193.421982,24.219999
2006-07-26,9.124286,26.26,191.504456,24.370001
2006-07-27,9.057143,26.559999,189.964462,23.870001
2006-07-28,9.37,27.17,192.805984,24.25
2006-07-31,9.708571,26.889999,192.050888,24.059999
2006-08-01,9.597143,26.32,186.541733,23.99
2006-08-02,9.737143,26.09,182.428482,24.299999
2006-08-03,9.941428,26.690001,186.482117,24.209999
2006-08-04,9.757143,27.290001,185.717087,24.290001
2006-08-07,9.601429,26.780001,187.753845,24.219999
2006-08-08,9.254286,26.360001,189.268982,24.34
2006-08-09,9.084286,26.209999,187.252106,24.440001
2006-08-10,9.152857,26.49,185.890961,24.459999
2006-08-11,9.092857,26.07,183.059372,24.43
2006-08-14,9.134286,26.530001,183.521378,24.530001
2006-08-15,9.492857,27.77,189.254089,24.620001
2006-08-16,9.711429,27.950001,192.607269,24.700001
2006-08-17,9.655714,29.09,191.653473,24.700001
2006-08-18,9.701428,29.120001,190.44136,25.790001
2006-08-21,9.508572,28.129999,187.430939,26.120001
2006-08-22,9.66,28.370001,187.922745,25.620001
2006-08-23,9.615714,28.139999,185.508453,25.67
2006-08-24,9.687143,27.969999,185.657471,25.74
2006-08-25,9.821428,28.030001,185.423996,25.85
2006-08-28,9.568571,28.91,189.244156,25.950001
2006-08-29,9.497143,29.52,188.25061,25.84
2006-08-30,9.565714,30.67,189.144791,25.799999
2006-08-31,9.692857,30.83,188.041962,25.700001
2006-09-01,9.768572,31.76,188.076736,25.84
2006-09-05,10.211429,32.23,190.938126,25.610001
2006-09-06,10.004286,30.799999,188.841766,25.610001
2006-09-07,10.4,29.73,188.022095,25.43
2006-09-08,10.36,30.51,187.704163,25.6
2006-09-11,10.357142,30.790001,190.804001,25.91
2006-09-12,10.375714,31.719999,194.683777,25.93
2006-09-13,10.6,31.67,201.971375,25.98
2006-09-14,10.595715,31.65,200.684738,26.33
2006-09-15,10.585714,32.52,203.615677,26.85
2006-09-18,10.555715,32.080002,206.005142,26.790001
2006-09-19,10.538571,31.58,200.600296,26.860001
2006-09-20,10.751429,32.119999,197.217285,27.18
2006-09-21,10.664286,30.219999,202.110474,26.9
2006-09-22,10.428572,30.84,200.585388,26.66
2006-09-25,10.821428,31.790001,200.684738,26.950001
2006-09-26,11.087143,32.5,202.120407,27.200001
2006-09-27,10.915714,32.330002,200.158157,27.440001
2006-09-28,11.001429,31.84,200.486038,27.4
2006-09-29,10.997143,32.119999,199.651459,27.35
2006-10-02,10.694285,30.870001,199.422943,27.360001
2006-10-03,10.582857,31.700001,200.714539,27.370001
2006-10-04,10.768572,32.759998,206.506866,27.940001
2006-10-05,10.69,33.32,204.574448,27.92
2006-10-06,10.602858,32.59,208.891357,27.870001
2006-10-09,10.661428,33.380001,213.113907,27.719999
2006-10-10,10.544286,32.619999,211.946487,27.690001
2006-10-11,10.461429,32.91,211.871979,27.540001
2006-10-12,10.751429,33.549999,212.338943,28.219999
2006-10-13,10.717143,33.32,212.269394,28.370001
2006-10-16,10.771428,32.599998,209.512329,28.450001
2006-10-17,10.612857,32.470001,208.960907,28.440001
2006-10-18,10.647142,32.310001,208.300201,28.52
2006-10-19,11.284286,32.540001,211.653397,28.290001
2006-10-20,11.421429,32.57,228.349808,28.43
2006-10-23,11.637143,32.880001,238.836594,28.450001
2006-10-24,11.578571,33.630001,235.125732,28.280001
2006-10-25,11.668571,37.68,241.727798,28.309999
2006-10-26,11.741428,38.299999,240.982635,28.35
2006-10-27,11.487143,38.240002,236.064621,28.34
2006-10-30,11.488571,38.150002,236.745193,28.530001
2006-10-31,11.582857,38.09,236.655777,28.709999
2006-11-01,11.308572,37.560001,232.239502,28.809999
2006-11-02,11.282857,37.450001,233.436722,28.77
2006-11-03,11.184286,37.459999,234.37561,28.73
2006-11-06,11.387143,38.209999,236.933975,28.84
2006-11-07,11.501429,38.77,234.758118,28.950001
2006-11-08,11.778571,39.470001,235.965271,28.98
2006-11-09,11.905714,38.84,234.787933,29.26
2006-11-10,11.874286,39.259998,235.244965,29.24
2006-11-13,12.05,39.990002,238.960785,29.35
2006-11-14,12.142858,41.509998,243.069077,29.23
2006-11-15,12.007143,42.599998,244.37558,29.120001
2006-11-16,12.23,42.84,246.347748,29.469999
2006-11-17,12.264286,42.549999,247.783401,29.4
2006-11-20,12.352858,42.439999,245.925491,29.889999
2006-11-21,12.657143,42.540001,253.178314,29.92
2006-11-22,12.901428,42.959999,252.363617,29.92
2006-11-24,13.09,42.41,250.868347,29.76
2006-11-27,12.791429,40.849998,240.808777,29.48
2006-11-28,13.115714,40.919998,243.168427,29.389999
2006-11-29,13.114285,40.630001,240.759094,29.57
2006-11-30,13.094286,40.34,240.838577,29.360001
2006-12-01,13.045714,39.41,238.846527,29.120001
2006-12-04,13.017143,39.099998,240.858444,29.33
2006-12-05,13.038571,38.98,241.926498,29.129999
2006-12-06,12.832857,38.900002,242.77597,28.99
2006-12-07,12.434286,38.119999,239.76059,28.85
2006-12-08,12.608571,38.459999,240.490845,29.4
2006-12-11,12.678572,38.689999,240.401413,29.540001
2006-12-12,12.305715,38.459999,239.333374,29.43
2006-12-13,12.721429,38.5,237.947388,29.549999
2006-12-14,12.65,39.02,239.502274,30.07
2006-12-15,12.531428,40.009998,238.598145,30.190001
2006-12-18,12.21,39.259998,229.904694,29.889999
2006-12-19,12.33,39.419998,232.800858,29.99
2006-12-20,12.108571,40.009998,229.954361,30.09
2006-12-21,11.842857,39.889999,226.626022,29.98
2006-12-22,11.742857,40.240002,226.318024,29.639999
2006-12-26,11.644286,39.799999,227.286713,29.99
2006-12-27,11.645715,40.290001,232.502792,30.02
2006-12-28,11.552857,40.209999,229.785461,29.98
2006-12-29,12.12,39.459999,228.752182,29.860001
2007-01-03,11.971429,38.700001,232.28421,29.860001
2007-01-04,12.237143,38.900002,240.068588,29.809999
2007-01-05,12.15,38.369999,242.020889,29.639999
2007-01-08,12.21,37.5,240.227554,29.93
2007-01-09,13.224286,37.779999,241.181351,29.959999
2007-01-10,13.857142,37.150002,243.14856,29.66
2007-01-11,13.685715,37.400002,248.245407,30.700001
2007-01-12,13.517143,38.200001,250.868347,31.209999
2007-01-16,13.871428,38.66,250.510666,31.16
2007-01-17,13.564285,37.880001,247.033279,31.1
2007-01-18,12.724286,36.98,242.338821,31.0
2007-01-19,12.642858,37.02,243.292618,31.110001
2007-01-22,12.398571,36.950001,238.866409,30.719999
2007-01-23,12.242857,36.43,237.977188,30.74
2007-01-24,12.385715,37.259998,247.922501,31.09
2007-01-25,12.321428,37.080002,242.467987,30.450001
2007-01-26,12.197143,36.849998,246.317932,30.6
2007-01-29,12.277143,37.43,244.643829,30.530001
2007-01-30,12.221429,37.049999,245.562851,30.48
2007-01-31,12.247143,37.669998,249.129654,30.860001
2007-02-01,12.105714,38.700001,239.318466,30.559999
2007-02-02,12.107142,37.389999,239.194275,30.190001
2007-02-05,11.991428,37.16,232.070602,29.610001
