Date,AMZN,PCLN
2017-05-15,957.969971,1813.810059
2017-05-16,966.070007,1829.800049
2017-05-17,944.76001,1795.689941
2017-05-18,958.48999,1796.030029
2017-05-19,959.840027,1808.280029
2017-05-22,970.669983,1828.420044
2017-05-23,971.539978,1827.939941
2017-05-24,980.349976,1848.73999
2017-05-25,993.380005,1860.430054
2017-05-26,995.780029,1863.900024
2017-05-30,996.700012,1857.449951
2017-05-31,994.619995,1877.089966
2017-06-01,995.950012,1890.819946
2017-06-02,1006.72998,1895.959961
2017-06-05,1011.340027,1891.579956
2017-06-06,1003.0,1889.859985
2017-06-07,1010.070007,1890.369995
2017-06-08,1010.27002,1892.380005
2017-06-09,978.309998,1842.119995
2017-06-12,964.909973,1812.98999
2017-06-13,980.789978,1843.52002
2017-06-14,976.469971,1831.609985
2017-06-15,964.169983,1809.199951
2017-06-16,987.710022,1802.609985
2017-06-19,995.169983,1851.599976
2017-06-20,992.590027,1850.640015
2017-06-21,1002.22998,1867.780029
2017-06-22,1001.299988,1862.930054
2017-06-23,1003.73999,1874.280029
2017-06-26,993.97998,1876.339966
2017-06-27,976.780029,1858.25
2017-06-28,990.330017,1890.209961
2017-06-29,975.929993,1876.98999
2017-06-30,968.0,1870.52002
2017-07-03,953.659973,1843.130005
2017-07-05,971.400024,1866.01001
2017-07-06,965.140015,1872.300049
2017-07-07,978.76001,1918.5
2017-07-10,996.469971,1921.819946
2017-07-11,994.130005,1929.150024
2017-07-12,1006.51001,1946.180054
2017-07-13,1000.630005,1940.699951
2017-07-14,1001.809998,1950.869995
2017-07-17,1010.039978,1945.459961
2017-07-18,1024.449951,1976.23999
2017-07-19,1026.869995,1992.099976
2017-07-20,1028.699951,1999.219971
2017-07-21,1025.670044,1994.890015
2017-07-24,1038.949951,2002.01001
2017-07-25,1039.869995,2016.910034
2017-07-26,1052.800049,2033.209961
2017-07-27,1046.0,2025.089966
2017-07-28,1020.039978,2024.060059
2017-07-31,987.780029,2028.5
2017-08-01,996.190002,2024.589966
2017-08-02,995.890015,2021.369995
2017-08-03,986.919983,2027.97998
2017-08-04,987.580017,2032.77002
2017-08-07,992.27002,2042.640015
2017-08-08,989.840027,2049.0
2017-08-09,982.01001,1906.800049
2017-08-10,956.919983,1849.619995
2017-08-11,967.98999,1854.170044
2017-08-14,983.299988,1873.949951
2017-08-15,982.73999,1860.839966
2017-08-16,978.179993,1855.719971
2017-08-17,960.570007,1812.969971
2017-08-18,958.469971,1810.0
2017-08-21,953.289978,1801.540039
2017-08-22,966.900024,1818.199951
2017-08-23,958.0,1813.02002
2017-08-24,952.450012,1815.51001
2017-08-25,945.26001,1793.47998
2017-08-28,946.02002,1789.910034
2017-08-29,954.059998,1807.060059
2017-08-30,967.590027,1813.0
2017-08-31,980.599976,1852.079956
2017-09-01,978.25,1850.819946
2017-09-05,965.27002,1842.890015
2017-09-06,967.799988,1842.449951
2017-09-07,979.469971,1845.369995
2017-09-08,965.900024,1838.569946
2017-09-11,977.960022,1868.859985
2017-09-12,982.580017,1868.640015
2017-09-13,999.599976,1871.170044
2017-09-14,992.210022,1845.290039
2017-09-15,986.789978,1843.199951
2017-09-18,974.190002,1854.180054
2017-09-19,969.859985,1859.780029
2017-09-20,973.210022,1866.209961
2017-09-21,964.650024,1866.349976
2017-09-22,955.099976,1862.130005
2017-09-25,939.789978,1829.550049
2017-09-26,938.599976,1825.920044
2017-09-27,950.869995,1818.98999
2017-09-28,956.400024,1811.689941
2017-09-29,961.349976,1830.819946
2017-10-02,959.190002,1857.469971
2017-10-03,957.099976,1867.650024
2017-10-04,965.450012,1888.699951
2017-10-05,980.849976,1909.609985
2017-10-06,989.580017,1918.0
2017-10-09,990.98999,1926.930054
2017-10-10,987.200012,1916.650024
2017-10-11,995.0,1920.199951
2017-10-12,1000.929993,1918.949951
2017-10-13,1002.940002,1929.060059
2017-10-16,1006.340027,1935.550049
2017-10-17,1009.130005,1934.530029
2017-10-18,997.0,1941.869995
