Date,AAPL,AMZN,GOOG,MSFT
2006-06-02,7.924685,34.759998,188.494034,17.468588
2006-06-05,7.711337,33.490002,186.010178,17.269035
2006-06-06,7.675352,33.41,193.73494,16.985056
2006-06-07,7.526264,33.77,192.00618,16.915983
2006-06-08,7.809015,33.549999,195.379242,16.969711
2006-06-09,7.613659,33.779999,192.035995,16.823879
2006-06-12,7.325771,33.599998,189.537247,16.662701
2006-06-13,7.496706,33.470001,192.011154,16.509197
2006-06-14,7.404168,33.68,190.953033,16.793179
2006-06-15,7.631654,34.959999,194.236679,16.939009
2006-06-16,7.397743,35.09,194.087646,16.962032
2006-06-19,7.351475,35.07,192.815918,17.307413
2006-06-20,7.386177,35.48,192.334045,17.315086
2006-06-21,7.4363,36.650002,199.765717,17.714197
2006-06-22,7.657358,36.369999,198.682755,17.560688
2006-06-23,7.560967,36.549999,201.121902,17.269035
2006-06-26,7.581532,36.77,200.80397,17.514641
2006-06-27,7.381035,36.48,199.860107,17.545345
2006-06-28,7.199818,36.700001,201.742859,17.775595
2006-06-29,7.578959,38.52,207.555054,18.013525
2006-06-30,7.360472,38.68,208.31015,17.883045
2006-07-03,7.447867,38.610001,210.232635,18.190048
2006-07-05,7.325771,37.110001,209.368256,17.921421
2006-07-06,7.167689,36.799999,210.227676,18.021194
2006-07-07,7.120134,36.110001,208.866531,17.883045
2006-07-10,7.068726,35.790001,207.748795,18.036549
2006-07-11,7.152266,35.66,210.908249,17.729542
2006-07-12,6.80654,34.630001,207.276871,17.37649
2006-07-13,6.71529,33.73,203.09407,17.084831
2006-07-14,6.512224,32.919998,200.446289,17.107861
2006-07-17,6.730712,33.669998,202.627106,17.253683
2006-07-18,6.79883,33.490002,200.222748,17.453241
2006-07-19,6.953056,34.48,198.210831,17.959801
2006-07-20,7.775599,34.18,192.309219,17.537663
2006-07-21,7.803876,33.189999,193.794556,18.320532
2006-07-24,7.893839,34.310001,194.186996,18.420309
2006-07-25,7.959386,33.59,193.421982,18.589153
2006-07-26,8.208718,26.26,191.504456,18.704292
2006-07-27,8.148312,26.559999,189.964462,18.320532
2006-07-28,8.429775,27.17,192.805984,18.612179
2006-07-31,8.734373,26.889999,192.050888,18.466354
2006-08-01,8.634129,26.32,186.541733,18.412632
2006-08-02,8.760078,26.09,182.428482,18.650558
2006-08-03,8.943867,26.690001,186.482117,18.581484
2006-08-04,8.778071,27.290001,185.717087,18.642887
2006-08-07,8.637982,26.780001,187.753845,18.589153
2006-08-08,8.325673,26.360001,189.268982,18.681257
2006-08-09,8.172732,26.209999,187.252106,18.758017
2006-08-10,8.234424,26.49,185.890961,18.773363
2006-08-11,8.180444,26.07,183.059372,18.750336
2006-08-14,8.217713,26.530001,183.521378,18.827091
2006-08-15,8.540306,27.77,189.254089,18.96575
2006-08-16,8.736945,27.950001,192.607269,19.027374
2006-08-17,8.686819,29.09,191.653473,19.027374
2006-08-18,8.727949,29.120001,190.44136,19.867046
2006-08-21,8.554442,28.129999,187.430939,20.12126
2006-08-22,8.690676,28.370001,187.922745,19.736086
2006-08-23,8.650836,28.139999,185.508453,19.774609
2006-08-24,8.715098,27.969999,185.657471,19.828527
2006-08-25,8.835907,28.030001,185.423996,19.913263
2006-08-28,8.608424,28.91,189.244156,19.990301
2006-08-29,8.544162,29.52,188.25061,19.905565
2006-08-30,8.605851,30.67,189.144791,19.874744
2006-08-31,8.720234,30.83,188.041962,19.797718
2006-09-01,8.788355,31.76,188.076736,19.905565
2006-09-05,9.186776,32.23,190.938126,19.72838
2006-09-06,9.000416,30.799999,188.841766,19.72838
2006-09-07,9.356423,29.73,188.022095,19.589722
2006-09-08,9.320438,30.51,187.704163,19.720675
